DBN,school_year,core_school,level,grade_served,school_type,cohort,year_partnership_began,social_work_program,community_school_program,community_school_program_status,arts_program,arts_program_type,ost_program,ost_program_type,food_pantry,laundry,sw_caseload_students,students_individual_contacts,number_individual_contacts,students_group_contacts,number_group_contacts,total_students_served_sw,total_contacts_sw,school_enrollment_pwc
24Q550,2021-22,,,,,,,,,,,,,,,,,,,,,,,
25Q209,2021-22,,,,,,,,,,,,,,,,,,,,,,,
26Q495,2021-22,,,,,,,,,,,,,,,,,,,,,,,
27Q351,2021-22,,,,,,,,,,,,,,,,,,,,,,,
28Q217,2021-22,,,,,,,,,,,,,,,,,,,,,,,
28Q325,2021-22,,,,,,,,,,,,,,,,,,,,,,,
28Q620,2021-22,,,,,,,,,,,,,,,,,,,,,,,
30Q575,2021-22,,,,,,,,,,,,,,,,,,,,,,,
31R013,2021-22,,,,,,,,,,,,,,,,,,,,,,,
31R019,2021-22,,,,,,,,,,,,,,,,,,,,,,,
31R049,2021-22,,,,,,,,,,,,,,,,,,,,,,,
32K162,2021-22,,,,,,,,,,,,,,,,,,,,,,,
32K556,2021-22,,,,,,,,,,,,,,,,,,,,,,,
75X017,2021-22,,,,,Morrisania,,,,,,,,,,,,,,,,,,
84M330,2021-22,,,,,,,,,,,,,,,,,,,,,,,
84X465,2021-22,,,,,,,,,,,,,,,,,,,,,,,
84X487,2021-22,,,,,Morrisania,,,,,,,,,,,,,,,,,,
84X630,2021-22,,,,,Morrisania,,,,,,,,,,,,,,,,,,
02M124,2022-23,0,Elem,Prek-5,DOE,,,0,0,,1,Mindfullness / Movement; Hip Hop / Zumba,,,,,,,,,,,,
02M600,2022-23,1,HS,9-12,DOE,,,1,0,,0,,,,,,2,1,10,81,262,11,272,1667
03M299,2022-23,0,HS,9-12,DOE,,,0,0,,1,Dance/Theatre,,,,,,,,,,,,
04M038,2022-23,1,Elem,Prek-5,DOE,East Harlem,,1,1,,1,Visual Arts,,,,,10,18,89,108,917,112,1006,169
04M102,2022-23,1,Elem,3K-5,DOE,East Harlem,,1,1,New,0,,,,,,,,,,,,,140
04M377,2022-23,1,Middle,6-8,DOE,East Harlem,,1,1,,1,"drums, hip hop, sculpt",,,,,na,7,18,,1523,8,1541,201
05M194,2022-23,1,Elem,Prek-5,DOE,,,1,1,,1,,,,,,102,119,1404,123,838,144,2242,161
06M005,2022-23,0,Elem,K-5,DOE,,,0,0,,1,"Chorus & Violin, Mural Arts, Puppets & Collage",,,,,,,,,,,,
07X296,2022-23,1,Middle,6-8,DOE,Morrisania,,1,1,New,0,,,,,,36,62,465,127,,153,465,244
08X208,2022-23,0,HS,9-12,DOE,,,1,0,,0,,,,,,28,23,402,14,279,30,681,469
09X525,2022-23,1,HS,9-12,DOE,,,1,1,,0,,,,,,16,75,339,15,61,80,400,394
10X438,2022-23,0,HS,9-12,DOE,,,1,1,OCS MH Subcontract - Center for Supportinve Schools,1,Visual Arts,,,,,16,34,283,113,3507,34,3790,413
