DBN,school_year,chronic_absent_count,chronic_absent_rate,chronic_absent_rate_label
02M475,2018-19,186.0,5.59,5.6% of students chronically absent
02M489,2018-19,177.0,23.26,23.3% of students chronically absent
02M500,2018-19,146.0,53.48,53.5% of students chronically absent
02M507,2018-19,108.0,23.43,23.4% of students chronically absent
02M519,2018-19,144.0,27.48,27.5% of students chronically absent
02M520,2018-19,110.0,57.59,57.6% of students chronically absent
02M527,2018-19,37.0,8.41,8.4% of students chronically absent
02M529,2018-19,313.0,65.76,65.8% of students chronically absent
02M531,2018-19,72.0,30.0,30.0% of students chronically absent
02M533,2018-19,167.0,38.84,38.8% of students chronically absent
02M534,2018-19,178.0,37.63,37.6% of students chronically absent
02M542,2018-19,157.0,29.02,29.0% of students chronically absent
02M543,2018-19,243.0,54.0,54.0% of students chronically absent
02M545,2018-19,8.0,1.98,2.0% of students chronically absent
02M546,2018-19,129.0,27.92,27.9% of students chronically absent
02M551,2018-19,160.0,30.19,30.2% of students chronically absent
02M580,2018-19,105.0,23.76,23.8% of students chronically absent
02M600,2018-19,498.0,31.16,31.2% of students chronically absent
02M615,2018-19,194.0,43.02,43.0% of students chronically absent
02M630,2018-19,438.0,29.65,29.6% of students chronically absent
02M655,2018-19,284.0,62.42,62.4% of students chronically absent
02M896,2018-19,27.0,6.99,7.0% of students chronically absent
02M933,2018-19,70.0,34.15,34.1% of students chronically absent
03M009,2018-19,67.0,10.5,10.5% of students chronically absent
03M054,2018-19,47.0,5.38,5.4% of students chronically absent
03M075,2018-19,131.0,22.47,22.5% of students chronically absent
03M076,2018-19,228.0,46.91,46.9% of students chronically absent
03M084,2018-19,144.0,20.34,20.3% of students chronically absent
03M087,2018-19,87.0,9.53,9.5% of students chronically absent
03M145,2018-19,212.0,48.4,48.4% of students chronically absent
03M149,2018-19,57.0,21.76,21.8% of students chronically absent
03M163,2018-19,136.0,22.86,22.9% of students chronically absent
03M165,2018-19,163.0,35.28,35.3% of students chronically absent
03M166,2018-19,39.0,6.02,6.0% of students chronically absent
03M180,2018-19,179.0,32.02,32.0% of students chronically absent
03M185,2018-19,127.0,32.48,32.5% of students chronically absent
03M191,2018-19,226.0,36.75,36.8% of students chronically absent
03M199,2018-19,57.0,6.85,6.8% of students chronically absent
03M241,2018-19,46.0,31.08,31.1% of students chronically absent
03M242,2018-19,65.0,40.12,40.1% of students chronically absent
03M243,2018-19,2.0,0.83,0.8% of students chronically absent
03M245,2018-19,22.0,5.45,5.5% of students chronically absent
03M247,2018-19,34.0,14.53,14.5% of students chronically absent
03M250,2018-19,45.0,25.86,25.9% of students chronically absent
03M256,2018-19,42.0,26.09,26.1% of students chronically absent
03M258,2018-19,62.0,24.31,24.3% of students chronically absent
03M291,2018-19,28.0,6.47,6.5% of students chronically absent
03M299,2018-19,216.0,57.29,57.3% of students chronically absent
03M307,2018-19,223.0,52.97,53.0% of students chronically absent
03M333,2018-19,111.0,14.32,14.3% of students chronically absent
03M334,2018-19,7.0,1.34,1.3% of students chronically absent
03M402,2018-19,181.0,55.35,55.4% of students chronically absent
03M403,2018-19,178.0,40.55,40.5% of students chronically absent
03M415,2018-19,142.0,43.16,43.2% of students chronically absent
03M417,2018-19,98.0,23.33,23.3% of students chronically absent
03M421,2018-19,68.0,29.96,30.0% of students chronically absent
03M452,2018-19,50.0,12.32,12.3% of students chronically absent
03M479,2018-19,74.0,5.17,5.2% of students chronically absent
03M485,2018-19,284.0,10.27,10.3% of students chronically absent
03M492,2018-19,192.0,43.44,43.4% of students chronically absent
03M494,2018-19,276.0,53.7,53.7% of students chronically absent
03M541,2018-19,24.0,5.39,5.4% of students chronically absent
03M610,2018-19,81.0,16.8,16.8% of students chronically absent
03M859,2018-19,46.0,14.42,14.4% of students chronically absent
03M860,2018-19,193.0,48.86,48.9% of students chronically absent
03M862,2018-19,49.0,11.19,11.2% of students chronically absent
04M007,2018-19,220.0,48.78,48.8% of students chronically absent
04M012,2018-19,33.0,5.45,5.5% of students chronically absent
04M037,2018-19,109.0,39.64,39.6% of students chronically absent
04M038,2018-19,154.0,53.1,53.1% of students chronically absent
04M057,2018-19,322.0,38.02,38.0% of students chronically absent
04M072,2018-19,283.0,41.8,41.8% of students chronically absent
04M083,2018-19,151.0,33.71,33.7% of students chronically absent
04M096,2018-19,196.0,45.48,45.5% of students chronically absent
04M102,2018-19,157.0,49.06,49.1% of students chronically absent
04M108,2018-19,230.0,44.75,44.8% of students chronically absent
04M112,2018-19,165.0,46.74,46.7% of students chronically absent
04M146,2018-19,184.0,42.99,43.0% of students chronically absent
04M155,2018-19,92.0,34.98,35.0% of students chronically absent
04M171,2018-19,220.0,27.85,27.9% of students chronically absent
04M182,2018-19,109.0,32.15,32.1% of students chronically absent
04M206,2018-19,159.0,30.93,30.9% of students chronically absent
04M224,2018-19,33.0,17.1,17.1% of students chronically absent
04M372,2018-19,218.0,36.33,36.3% of students chronically absent
04M375,2018-19,219.0,61.52,61.5% of students chronically absent
04M377,2018-19,50.0,28.25,28.2% of students chronically absent
04M435,2018-19,266.0,15.87,15.9% of students chronically absent
04M495,2018-19,54.0,13.71,13.7% of students chronically absent
04M497,2018-19,46.0,23.96,24.0% of students chronically absent
04M555,2018-19,36.0,7.0,7.0% of students chronically absent
04M680,2018-19,98.0,30.72,30.7% of students chronically absent
04M825,2018-19,62.0,25.2,25.2% of students chronically absent
04M964,2018-19,145.0,27.67,27.7% of students chronically absent
05M030,2018-19,128.0,45.23,45.2% of students chronically absent
05M036,2018-19,180.0,44.89,44.9% of students chronically absent
05M046,2018-19,334.0,49.19,49.2% of students chronically absent
05M092,2018-19,132.0,47.14,47.1% of students chronically absent
05M123,2018-19,202.0,37.34,37.3% of students chronically absent
05M125,2018-19,112.0,36.01,36.0% of students chronically absent
05M129,2018-19,229.0,47.81,47.8% of students chronically absent
05M133,2018-19,120.0,45.8,45.8% of students chronically absent
05M148,2018-19,200.0,50.25,50.2% of students chronically absent
05M154,2018-19,118.0,37.22,37.2% of students chronically absent
05M157,2018-19,184.0,67.15,67.2% of students chronically absent
05M161,2018-19,347.0,39.93,39.9% of students chronically absent
05M175,2018-19,175.0,45.45,45.5% of students chronically absent
05M194,2018-19,81.0,32.02,32.0% of students chronically absent
05M197,2018-19,176.0,48.75,48.8% of students chronically absent
05M200,2018-19,261.0,57.36,57.4% of students chronically absent
05M286,2018-19,83.0,54.61,54.6% of students chronically absent
05M304,2018-19,128.0,39.02,39.0% of students chronically absent
05M318,2018-19,69.0,32.09,32.1% of students chronically absent
05M362,2018-19,114.0,15.83,15.8% of students chronically absent
05M369,2018-19,209.0,52.91,52.9% of students chronically absent
05M499,2018-19,417.0,31.52,31.5% of students chronically absent
05M514,2018-19,99.0,61.88,61.9% of students chronically absent
05M517,2018-19,60.0,18.13,18.1% of students chronically absent
05M670,2018-19,110.0,19.93,19.9% of students chronically absent
05M692,2018-19,57.0,11.63,11.6% of students chronically absent
06M004,2018-19,159.0,29.72,29.7% of students chronically absent
06M005,2018-19,185.0,31.09,31.1% of students chronically absent
06M008,2018-19,118.0,22.31,22.3% of students chronically absent
06M018,2018-19,54.0,14.59,14.6% of students chronically absent
06M028,2018-19,196.0,30.34,30.3% of students chronically absent
06M048,2018-19,93.0,18.6,18.6% of students chronically absent
06M052,2018-19,85.0,30.14,30.1% of students chronically absent
06M098,2018-19,175.0,37.8,37.8% of students chronically absent
06M103,2018-19,37.0,8.79,8.8% of students chronically absent
06M115,2018-19,182.0,37.6,37.6% of students chronically absent
06M128,2018-19,194.0,30.84,30.8% of students chronically absent
06M132,2018-19,72.0,26.47,26.5% of students chronically absent
06M143,2018-19,80.0,29.09,29.1% of students chronically absent
06M152,2018-19,181.0,30.42,30.4% of students chronically absent
06M153,2018-19,152.0,25.94,25.9% of students chronically absent
06M173,2018-19,145.0,28.1,28.1% of students chronically absent
06M178,2018-19,36.0,12.46,12.5% of students chronically absent
06M187,2018-19,103.0,12.96,13.0% of students chronically absent
06M189,2018-19,225.0,28.81,28.8% of students chronically absent
06M192,2018-19,135.0,32.37,32.4% of students chronically absent
06M209,2018-19,57.0,18.87,18.9% of students chronically absent
06M210,2018-19,91.0,20.73,20.7% of students chronically absent
06M211,2018-19,220.0,50.34,50.3% of students chronically absent
