DBN,school_year,chronic_absent_count,chronic_absent_rate,chronic_absent_rate_label
28Q896,2018-19,85.0,15.48,15.5% of students chronically absent
29Q015,2018-19,121.0,25.74,25.7% of students chronically absent
29Q033,2018-19,176.0,17.69,17.7% of students chronically absent
29Q034,2018-19,152.0,23.6,23.6% of students chronically absent
29Q035,2018-19,162.0,22.16,22.2% of students chronically absent
29Q036,2018-19,118.0,26.46,26.5% of students chronically absent
29Q037,2018-19,177.0,36.72,36.7% of students chronically absent
29Q038,2018-19,65.0,21.52,21.5% of students chronically absent
29Q052,2018-19,208.0,42.28,42.3% of students chronically absent
29Q059,2018-19,186.0,30.1,30.1% of students chronically absent
29Q095,2018-19,566.0,37.04,37.0% of students chronically absent
29Q109,2018-19,248.0,20.58,20.6% of students chronically absent
29Q116,2018-19,342.0,38.91,38.9% of students chronically absent
29Q118,2018-19,126.0,25.2,25.2% of students chronically absent
29Q131,2018-19,159.0,19.8,19.8% of students chronically absent
29Q132,2018-19,100.0,25.13,25.1% of students chronically absent
29Q134,2018-19,118.0,31.55,31.6% of students chronically absent
29Q135,2018-19,246.0,24.7,24.7% of students chronically absent
29Q136,2018-19,201.0,32.37,32.4% of students chronically absent
29Q138,2018-19,215.0,28.07,28.1% of students chronically absent
29Q147,2018-19,167.0,27.15,27.1% of students chronically absent
29Q156,2018-19,117.0,45.88,45.9% of students chronically absent
29Q176,2018-19,106.0,13.68,13.7% of students chronically absent
29Q181,2018-19,109.0,30.79,30.8% of students chronically absent
29Q192,2018-19,48.0,8.84,8.8% of students chronically absent
29Q195,2018-19,161.0,28.3,28.3% of students chronically absent
29Q208,2018-19,50.0,6.82,6.8% of students chronically absent
29Q238,2018-19,397.0,28.58,28.6% of students chronically absent
29Q243,2018-19,203.0,44.91,44.9% of students chronically absent
29Q248,2018-19,183.0,45.64,45.6% of students chronically absent
29Q251,2018-19,86.0,22.75,22.8% of students chronically absent
29Q259,2018-19,102.0,17.41,17.4% of students chronically absent
29Q265,2018-19,175.0,38.63,38.6% of students chronically absent
29Q268,2018-19,132.0,20.47,20.5% of students chronically absent
29Q270,2018-19,99.0,12.82,12.8% of students chronically absent
29Q272,2018-19,172.0,37.8,37.8% of students chronically absent
29Q283,2018-19,183.0,30.3,30.3% of students chronically absent
29Q289,2018-19,48.0,26.52,26.5% of students chronically absent
29Q295,2018-19,60.0,11.93,11.9% of students chronically absent
29Q313,2018-19,211.0,49.07,49.1% of students chronically absent
29Q326,2018-19,129.0,33.59,33.6% of students chronically absent
29Q327,2018-19,141.0,27.49,27.5% of students chronically absent
29Q355,2018-19,75.0,22.06,22.1% of students chronically absent
29Q356,2018-19,142.0,36.88,36.9% of students chronically absent
29Q360,2018-19,20.0,9.43,9.4% of students chronically absent
29Q492,2018-19,186.0,42.66,42.7% of students chronically absent
29Q498,2018-19,184.0,41.53,41.5% of students chronically absent
30Q002,2018-19,97.0,15.9,15.9% of students chronically absent
30Q010,2018-19,149.0,18.0,18.0% of students chronically absent
30Q011,2018-19,130.0,13.04,13.0% of students chronically absent
30Q017,2018-19,148.0,24.03,24.0% of students chronically absent
30Q069,2018-19,129.0,12.22,12.2% of students chronically absent
30Q070,2018-19,177.0,19.54,19.5% of students chronically absent
30Q076,2018-19,162.0,33.47,33.5% of students chronically absent
30Q078,2018-19,123.0,15.93,15.9% of students chronically absent
30Q084,2018-19,68.0,22.74,22.7% of students chronically absent
30Q085,2018-19,120.0,18.07,18.1% of students chronically absent
30Q092,2018-19,100.0,10.72,10.7% of students chronically absent
30Q111,2018-19,185.0,46.84,46.8% of students chronically absent
30Q112,2018-19,178.0,36.7,36.7% of students chronically absent
30Q122,2018-19,165.0,11.79,11.8% of students chronically absent
30Q126,2018-19,156.0,22.22,22.2% of students chronically absent
30Q127,2018-19,348.0,25.57,25.6% of students chronically absent
30Q141,2018-19,181.0,14.87,14.9% of students chronically absent
30Q145,2018-19,216.0,12.25,12.2% of students chronically absent
30Q148,2018-19,141.0,16.57,16.6% of students chronically absent
30Q149,2018-19,133.0,13.01,13.0% of students chronically absent
30Q150,2018-19,167.0,15.81,15.8% of students chronically absent
30Q151,2018-19,89.0,22.53,22.5% of students chronically absent
30Q152,2018-19,126.0,11.99,12.0% of students chronically absent
30Q166,2018-19,123.0,11.9,11.9% of students chronically absent
30Q171,2018-19,196.0,38.81,38.8% of students chronically absent
30Q204,2018-19,135.0,27.72,27.7% of students chronically absent
30Q212,2018-19,109.0,13.16,13.2% of students chronically absent
30Q222,2018-19,74.0,26.06,26.1% of students chronically absent
30Q227,2018-19,145.0,9.07,9.1% of students chronically absent
30Q228,2018-19,59.0,18.44,18.4% of students chronically absent
30Q230,2018-19,156.0,11.98,12.0% of students chronically absent
30Q234,2018-19,96.0,19.01,19.0% of students chronically absent
30Q235,2018-19,27.0,17.31,17.3% of students chronically absent
30Q258,2018-19,146.0,26.5,26.5% of students chronically absent
30Q280,2018-19,90.0,13.85,13.8% of students chronically absent
30Q286,2018-19,75.0,12.73,12.7% of students chronically absent
30Q291,2018-19,58.0,13.27,13.3% of students chronically absent
30Q300,2018-19,30.0,5.69,5.7% of students chronically absent
30Q301,2018-19,108.0,18.98,19.0% of students chronically absent
30Q329,2018-19,78.0,16.49,16.5% of students chronically absent
30Q361,2018-19,61.0,17.23,17.2% of students chronically absent
30Q384,2018-19,16.0,37.21,37.2% of students chronically absent
30Q445,2018-19,775.0,31.39,31.4% of students chronically absent
30Q450,2018-19,835.0,35.81,35.8% of students chronically absent
30Q501,2018-19,170.0,19.95,19.9% of students chronically absent
30Q502,2018-19,329.0,31.6,31.6% of students chronically absent
30Q555,2018-19,285.0,30.65,30.6% of students chronically absent
30Q575,2018-19,225.0,21.97,22.0% of students chronically absent
30Q580,2018-19,24.0,4.47,4.5% of students chronically absent
31R001,2018-19,88.0,19.56,19.6% of students chronically absent
31R002,2018-19,258.0,23.16,23.2% of students chronically absent
31R003,2018-19,96.0,12.73,12.7% of students chronically absent
31R004,2018-19,104.0,14.92,14.9% of students chronically absent
31R005,2018-19,30.0,9.46,9.5% of students chronically absent
31R006,2018-19,96.0,17.71,17.7% of students chronically absent
31R007,2018-19,211.0,17.82,17.8% of students chronically absent
31R008,2018-19,88.0,14.33,14.3% of students chronically absent
31R009,2018-19,20.0,6.01,6.0% of students chronically absent
31R010,2018-19,83.0,41.92,41.9% of students chronically absent
31R011,2018-19,75.0,22.52,22.5% of students chronically absent
31R013,2018-19,222.0,24.78,24.8% of students chronically absent
31R016,2018-19,200.0,36.9,36.9% of students chronically absent
31R018,2018-19,243.0,44.18,44.2% of students chronically absent
31R019,2018-19,174.0,29.59,29.6% of students chronically absent
31R020,2018-19,140.0,28.99,29.0% of students chronically absent
31R021,2018-19,141.0,38.01,38.0% of students chronically absent
31R022,2018-19,291.0,29.45,29.4% of students chronically absent
31R023,2018-19,63.0,11.33,11.3% of students chronically absent
31R024,2018-19,207.0,15.38,15.4% of students chronically absent
31R026,2018-19,52.0,17.05,17.1% of students chronically absent
31R027,2018-19,351.0,31.79,31.8% of students chronically absent
31R028,2018-19,109.0,38.25,38.2% of students chronically absent
31R029,2018-19,93.0,14.65,14.7% of students chronically absent
31R030,2018-19,141.0,16.57,16.6% of students chronically absent
31R031,2018-19,178.0,42.28,42.3% of students chronically absent
31R032,2018-19,128.0,18.52,18.5% of students chronically absent
31R034,2018-19,209.0,19.48,19.5% of students chronically absent
31R035,2018-19,43.0,10.24,10.2% of students chronically absent
31R036,2018-19,104.0,11.79,11.8% of students chronically absent
31R038,2018-19,90.0,22.9,22.9% of students chronically absent
31R039,2018-19,179.0,31.63,31.6% of students chronically absent
31R041,2018-19,136.0,18.5,18.5% of students chronically absent
31R042,2018-19,157.0,14.54,14.5% of students chronically absent
31R044,2018-19,384.0,45.28,45.3% of students chronically absent
31R045,2018-19,227.0,25.06,25.1% of students chronically absent
31R046,2018-19,79.0,29.37,29.4% of students chronically absent
31R047,2018-19,73.0,14.69,14.7% of students chronically absent
31R048,2018-19,121.0,11.93,11.9% of students chronically absent
31R049,2018-19,199.0,34.13,34.1% of students chronically absent
31R050,2018-19,131.0,17.73,17.7% of students chronically absent
31R051,2018-19,478.0,33.71,33.7% of students chronically absent
31R052,2018-19,104.0,16.77,16.8% of students chronically absent
31R053,2018-19,135.0,15.66,15.7% of students chronically absent
31R054,2018-19,134.0,16.28,16.3% of students chronically absent
31R055,2018-19,88.0,14.86,14.9% of students chronically absent
31R056,2018-19,78.0,13.09,13.1% of students chronically absent
31R057,2018-19,236.0,34.05,34.0% of students chronically absent
31R058,2018-19,150.0,20.92,20.9% of students chronically absent
31R059,2018-19,63.0,20.72,20.7% of students chronically absent
31R060,2018-19,181.0,20.2,20.2% of students chronically absent
31R061,2018-19,347.0,34.19,34.2% of students chronically absent
31R062,2018-19,45.0,15.52,15.5% of students chronically absent
31R063,2018-19,51.0,11.28,11.3% of students chronically absent
31R064,2018-19,111.0,25.0,25.0% of students chronically absent
31R065,2018-19,64.0,14.38,14.4% of students chronically absent
31R068,2018-19,77.0,30.92,30.9% of students chronically absent
31R069,2018-19,129.0,13.51,13.5% of students chronically absent
31R072,2018-19,294.0,19.61,19.6% of students chronically absent
31R074,2018-19,158.0,48.02,48.0% of students chronically absent
31R075,2018-19,221.0,14.96,15.0% of students chronically absent
31R078,2018-19,378.0,43.75,43.8% of students chronically absent
31R080,2018-19,248.0,18.49,18.5% of students chronically absent
31R440,2018-19,513.0,16.65,16.6% of students chronically absent
31R445,2018-19,643.0,39.81,39.8% of students chronically absent
31R450,2018-19,975.0,36.12,36.1% of students chronically absent
31R455,2018-19,895.0,23.96,24.0% of students chronically absent
31R460,2018-19,808.0,23.42,23.4% of students chronically absent
31R600,2018-19,357.0,44.79,44.8% of students chronically absent
31R605,2018-19,105.0,7.88,7.9% of students chronically absent
31R861,2018-19,208.0,22.61,22.6% of students chronically absent
32K045,2018-19,209.0,30.65,30.6% of students chronically absent
32K075,2018-19,140.0,42.04,42.0% of students chronically absent
32K086,2018-19,71.0,17.19,17.2% of students chronically absent
32K106,2018-19,156.0,36.71,36.7% of students chronically absent
32K116,2018-19,97.0,25.39,25.4% of students chronically absent
32K123,2018-19,124.0,20.0,20.0% of students chronically absent
32K145,2018-19,154.0,26.6,26.6% of students chronically absent
32K151,2018-19,55.0,17.46,17.5% of students chronically absent
32K162,2018-19,89.0,25.21,25.2% of students chronically absent
32K168,2018-19,101.0,34.24,34.2% of students chronically absent
32K274,2018-19,139.0,34.49,34.5% of students chronically absent
32K291,2018-19,128.0,38.55,38.5% of students chronically absent
32K299,2018-19,81.0,30.11,30.1% of students chronically absent
32K347,2018-19,105.0,30.7,30.7% of students chronically absent
32K349,2018-19,81.0,23.96,24.0% of students chronically absent
32K376,2018-19,87.0,15.85,15.8% of students chronically absent
32K377,2018-19,58.0,33.72,33.7% of students chronically absent
32K383,2018-19,154.0,16.76,16.8% of students chronically absent
32K384,2018-19,161.0,30.21,30.2% of students chronically absent
32K403,2018-19,143.0,48.15,48.1% of students chronically absent
32K545,2018-19,263.0,52.5,52.5% of students chronically absent
32K549,2018-19,196.0,53.99,54.0% of students chronically absent
32K552,2018-19,81.0,32.4,32.4% of students chronically absent
32K554,2018-19,52.0,11.87,11.9% of students chronically absent
32K556,2018-19,162.0,52.09,52.1% of students chronically absent
32K562,2018-19,56.0,14.4,14.4% of students chronically absent
75K004,2018-19,187.0,53.28,53.3% of students chronically absent
75K036,2018-19,271.0,61.73,61.7% of students chronically absent
75K053,2018-19,226.0,48.29,48.3% of students chronically absent
75K077,2018-19,103.0,34.92,34.9% of students chronically absent
75K140,2018-19,221.0,56.09,56.1% of students chronically absent
75K141,2018-19,215.0,56.88,56.9% of students chronically absent
75K231,2018-19,147.0,38.99,39.0% of students chronically absent
75K368,2018-19,272.0,70.65,70.7% of students chronically absent
75K369,2018-19,259.0,44.97,45.0% of students chronically absent
75K370,2018-19,114.0,43.51,43.5% of students chronically absent
75K371,2018-19,210.0,73.94,73.9% of students chronically absent
75K372,2018-19,29.0,13.62,13.6% of students chronically absent
75K373,2018-19,269.0,56.87,56.9% of students chronically absent
75K396,2018-19,265.0,56.5,56.5% of students chronically absent
75K721,2018-19,233.0,47.36,47.4% of students chronically absent
75K753,2018-19,258.0,79.88,79.9% of students chronically absent
75K771,2018-19,209.0,44.95,45.0% of students chronically absent
75K811,2018-19,193.0,55.78,55.8% of students chronically absent
75M079,2018-19,193.0,67.25,67.2% of students chronically absent
75M094,2018-19,230.0,51.34,51.3% of students chronically absent
75M138,2018-19,365.0,57.48,57.5% of students chronically absent
75M169,2018-19,263.0,61.02,61.0% of students chronically absent
75M226,2018-19,153.0,48.26,48.3% of students chronically absent
75M721,2018-19,110.0,53.14,53.1% of students chronically absent
75M751,2018-19,178.0,68.99,69.0% of students chronically absent
75M811,2018-19,231.0,57.18,57.2% of students chronically absent
75Q004,2018-19,155.0,34.75,34.8% of students chronically absent
75Q009,2018-19,358.0,50.64,50.6% of students chronically absent
75Q075,2018-19,306.0,48.73,48.7% of students chronically absent
75Q177,2018-19,162.0,32.14,32.1% of students chronically absent
75Q224,2018-19,186.0,43.46,43.5% of students chronically absent
75Q233,2018-19,210.0,40.54,40.5% of students chronically absent
75Q255,2018-19,125.0,28.54,28.5% of students chronically absent
75Q277,2018-19,225.0,42.69,42.7% of students chronically absent
75Q721,2018-19,248.0,49.7,49.7% of students chronically absent
75Q752,2018-19,312.0,69.64,69.6% of students chronically absent
75Q811,2018-19,207.0,45.59,45.6% of students chronically absent
75Q993,2018-19,269.0,44.91,44.9% of students chronically absent
75R025,2018-19,416.0,62.28,62.3% of students chronically absent
75R037,2018-19,142.0,37.17,37.2% of students chronically absent
75R373,2018-19,266.0,41.37,41.4% of students chronically absent
75R721,2018-19,231.0,49.04,49.0% of students chronically absent
75X010,2018-19,356.0,56.06,56.1% of students chronically absent
75X012,2018-19,162.0,56.64,56.6% of students chronically absent
75X017,2018-19,257.0,51.71,51.7% of students chronically absent
75X168,2018-19,337.0,57.22,57.2% of students chronically absent
75X176,2018-19,205.0,36.48,36.5% of students chronically absent
75X186,2018-19,557.0,65.92,65.9% of students chronically absent
75X188,2018-19,290.0,55.34,55.3% of students chronically absent
75X352,2018-19,354.0,61.67,61.7% of students chronically absent
75X469,2018-19,193.0,55.62,55.6% of students chronically absent
75X596,2018-19,160.0,37.91,37.9% of students chronically absent
75X721,2018-19,301.0,52.9,52.9% of students chronically absent
75X754,2018-19,443.0,81.43,81.4% of students chronically absent
75X811,2018-19,373.0,56.01,56.0% of students chronically absent
01M015,2019-20,58.0,28.43,28.4% of students chronically absent
01M019,2019-20,72.0,28.8,28.8% of students chronically absent
01M020,2019-20,192.0,37.72,37.7% of students chronically absent
01M034,2019-20,146.0,47.25,47.2% of students chronically absent
01M063,2019-20,83.0,33.74,33.7% of students chronically absent
01M064,2019-20,94.0,38.06,38.1% of students chronically absent
01M110,2019-20,79.0,19.36,19.4% of students chronically absent
01M134,2019-20,109.0,40.98,41.0% of students chronically absent
01M140,2019-20,191.0,47.51,47.5% of students chronically absent
01M142,2019-20,134.0,38.29,38.3% of students chronically absent
01M184,2019-20,46.0,6.29,6.3% of students chronically absent
01M188,2019-20,213.0,49.42,49.4% of students chronically absent
01M292,2019-20,86.0,37.23,37.2% of students chronically absent
01M315,2019-20,62.0,18.4,18.4% of students chronically absent
01M332,2019-20,60.0,26.79,26.8% of students chronically absent
01M361,2019-20,92.0,26.98,27.0% of students chronically absent
01M363,2019-20,61.0,19.81,19.8% of students chronically absent
01M364,2019-20,107.0,29.56,29.6% of students chronically absent
01M378,2019-20,76.0,34.23,34.2% of students chronically absent
01M448,2019-20,129.0,25.8,25.8% of students chronically absent
01M450,2019-20,82.0,11.97,12.0% of students chronically absent
01M509,2019-20,49.0,50.0,50.0% of students chronically absent
01M539,2019-20,158.0,8.71,8.7% of students chronically absent
01M696,2019-20,62.0,10.02,10.0% of students chronically absent
01M839,2019-20,51.0,13.97,14.0% of students chronically absent
02M001,2019-20,58.0,21.64,21.6% of students chronically absent
02M002,2019-20,76.0,16.38,16.4% of students chronically absent
02M003,2019-20,122.0,16.78,16.8% of students chronically absent
02M006,2019-20,62.0,9.44,9.4% of students chronically absent
02M011,2019-20,157.0,16.81,16.8% of students chronically absent
02M033,2019-20,164.0,24.81,24.8% of students chronically absent
02M040,2019-20,73.0,10.17,10.2% of students chronically absent
02M041,2019-20,45.0,6.7,6.7% of students chronically absent
02M042,2019-20,51.0,8.89,8.9% of students chronically absent
02M047,2019-20,100.0,42.19,42.2% of students chronically absent
02M051,2019-20,157.0,29.85,29.9% of students chronically absent
02M059,2019-20,68.0,10.26,10.3% of students chronically absent
02M077,2019-20,27.0,7.44,7.4% of students chronically absent
02M089,2019-20,33.0,7.11,7.1% of students chronically absent
02M104,2019-20,102.0,9.03,9.0% of students chronically absent
02M111,2019-20,147.0,30.82,30.8% of students chronically absent
02M114,2019-20,12.0,2.61,2.6% of students chronically absent
02M116,2019-20,115.0,21.9,21.9% of students chronically absent
02M124,2019-20,32.0,4.7,4.7% of students chronically absent
02M126,2019-20,70.0,9.56,9.6% of students chronically absent
02M130,2019-20,59.0,7.35,7.3% of students chronically absent
02M131,2019-20,34.0,10.53,10.5% of students chronically absent
02M135,2019-20,112.0,42.59,42.6% of students chronically absent
02M139,2019-20,208.0,48.83,48.8% of students chronically absent
02M150,2019-20,13.0,6.77,6.8% of students chronically absent
02M151,2019-20,119.0,24.44,24.4% of students chronically absent
02M158,2019-20,100.0,12.15,12.2% of students chronically absent
02M167,2019-20,135.0,9.8,9.8% of students chronically absent
02M177,2019-20,17.0,7.33,7.3% of students chronically absent
02M183,2019-20,64.0,10.41,10.4% of students chronically absent
02M198,2019-20,89.0,17.45,17.4% of students chronically absent
02M212,2019-20,81.0,21.72,21.7% of students chronically absent
02M217,2019-20,73.0,10.9,10.9% of students chronically absent
02M225,2019-20,70.0,20.83,20.8% of students chronically absent
02M234,2019-20,70.0,10.79,10.8% of students chronically absent
02M255,2019-20,19.0,4.95,5.0% of students chronically absent
02M260,2019-20,77.0,9.87,9.9% of students chronically absent
02M267,2019-20,41.0,8.99,9.0% of students chronically absent
02M276,2019-20,81.0,9.26,9.3% of students chronically absent
02M280,2019-20,187.0,40.83,40.8% of students chronically absent
02M281,2019-20,69.0,15.23,15.2% of students chronically absent
02M282,2019-20,145.0,32.51,32.5% of students chronically absent
02M288,2019-20,140.0,35.18,35.2% of students chronically absent
02M289,2019-20,18.0,6.43,6.4% of students chronically absent
02M290,2019-20,48.0,8.22,8.2% of students chronically absent
02M294,2019-20,132.0,37.93,37.9% of students chronically absent
02M296,2019-20,166.0,48.26,48.3% of students chronically absent
02M297,2019-20,159.0,17.91,17.9% of students chronically absent
02M298,2019-20,234.0,40.0,40.0% of students chronically absent
02M300,2019-20,119.0,44.91,44.9% of students chronically absent
02M303,2019-20,191.0,52.19,52.2% of students chronically absent
02M305,2019-20,146.0,44.51,44.5% of students chronically absent
02M308,2019-20,160.0,49.69,49.7% of students chronically absent
02M312,2019-20,16.0,2.64,2.6% of students chronically absent
02M316,2019-20,104.0,58.76,58.8% of students chronically absent
02M340,2019-20,50.0,12.25,12.2% of students chronically absent
02M343,2019-20,47.0,9.92,9.9% of students chronically absent
02M347,2019-20,80.0,40.82,40.8% of students chronically absent
02M374,2019-20,168.0,37.92,37.9% of students chronically absent
02M376,2019-20,63.0,13.46,13.5% of students chronically absent
02M392,2019-20,166.0,40.0,40.0% of students chronically absent
02M393,2019-20,257.0,57.88,57.9% of students chronically absent
02M397,2019-20,81.0,14.11,14.1% of students chronically absent
02M399,2019-20,115.0,39.38,39.4% of students chronically absent
02M400,2019-20,399.0,34.4,34.4% of students chronically absent
02M407,2019-20,65.0,13.32,13.3% of students chronically absent
02M408,2019-20,144.0,24.66,24.7% of students chronically absent
02M411,2019-20,49.0,9.98,10.0% of students chronically absent
02M412,2019-20,62.0,11.88,11.9% of students chronically absent
02M413,2019-20,80.0,11.05,11.1% of students chronically absent
02M414,2019-20,81.0,17.65,17.6% of students chronically absent
02M416,2019-20,26.0,4.78,4.8% of students chronically absent
02M418,2019-20,28.0,4.15,4.2% of students chronically absent
02M419,2019-20,175.0,49.86,49.9% of students chronically absent
02M420,2019-20,433.0,23.19,23.2% of students chronically absent
02M422,2019-20,232.0,38.41,38.4% of students chronically absent
02M425,2019-20,173.0,47.01,47.0% of students chronically absent
02M427,2019-20,96.0,43.05,43.0% of students chronically absent
02M437,2019-20,241.0,51.17,51.2% of students chronically absent
02M438,2019-20,131.0,34.93,34.9% of students chronically absent
02M439,2019-20,16.0,3.46,3.5% of students chronically absent
02M442,2019-20,7.0,4.93,4.9% of students chronically absent
02M449,2019-20,216.0,50.0,50.0% of students chronically absent
02M459,2019-20,107.0,32.33,32.3% of students chronically absent
02M475,2019-20,165.0,4.87,4.9% of students chronically absent
02M489,2019-20,216.0,28.72,28.7% of students chronically absent
02M500,2019-20,129.0,46.4,46.4% of students chronically absent
02M507,2019-20,102.0,22.03,22.0% of students chronically absent
02M519,2019-20,147.0,27.37,27.4% of students chronically absent
02M520,2019-20,73.0,56.15,56.1% of students chronically absent
02M527,2019-20,54.0,11.02,11.0% of students chronically absent
02M529,2019-20,154.0,48.28,48.3% of students chronically absent
02M531,2019-20,63.0,26.36,26.4% of students chronically absent
02M533,2019-20,145.0,34.28,34.3% of students chronically absent
02M534,2019-20,191.0,42.07,42.1% of students chronically absent
02M542,2019-20,192.0,36.16,36.2% of students chronically absent
02M543,2019-20,255.0,54.49,54.5% of students chronically absent
02M545,2019-20,16.0,3.98,4.0% of students chronically absent
02M546,2019-20,138.0,30.33,30.3% of students chronically absent
02M551,2019-20,159.0,30.06,30.1% of students chronically absent
02M580,2019-20,111.0,31.18,31.2% of students chronically absent
02M600,2019-20,495.0,30.69,30.7% of students chronically absent
02M615,2019-20,177.0,39.33,39.3% of students chronically absent
02M630,2019-20,397.0,27.04,27.0% of students chronically absent
02M655,2019-20,222.0,54.01,54.0% of students chronically absent
02M896,2019-20,21.0,5.51,5.5% of students chronically absent
02M933,2019-20,60.0,35.93,35.9% of students chronically absent
03M009,2019-20,60.0,9.33,9.3% of students chronically absent
03M054,2019-20,56.0,6.76,6.8% of students chronically absent
03M075,2019-20,136.0,24.5,24.5% of students chronically absent
03M076,2019-20,162.0,40.91,40.9% of students chronically absent
03M084,2019-20,116.0,16.36,16.4% of students chronically absent
03M087,2019-20,85.0,9.62,9.6% of students chronically absent
03M145,2019-20,185.0,42.33,42.3% of students chronically absent
03M149,2019-20,67.0,28.03,28.0% of students chronically absent
03M163,2019-20,117.0,20.63,20.6% of students chronically absent
03M165,2019-20,138.0,31.08,31.1% of students chronically absent
03M166,2019-20,63.0,9.36,9.4% of students chronically absent
03M180,2019-20,162.0,30.74,30.7% of students chronically absent
03M185,2019-20,134.0,36.02,36.0% of students chronically absent
03M191,2019-20,187.0,32.92,32.9% of students chronically absent
03M199,2019-20,56.0,7.18,7.2% of students chronically absent
03M241,2019-20,33.0,32.67,32.7% of students chronically absent
03M242,2019-20,64.0,41.03,41.0% of students chronically absent
03M243,2019-20,7.0,2.8,2.8% of students chronically absent
03M245,2019-20,20.0,4.89,4.9% of students chronically absent
03M247,2019-20,31.0,12.97,13.0% of students chronically absent
03M250,2019-20,62.0,38.27,38.3% of students chronically absent
03M256,2019-20,27.0,18.37,18.4% of students chronically absent
03M258,2019-20,51.0,20.48,20.5% of students chronically absent
03M291,2019-20,40.0,7.48,7.5% of students chronically absent
03M299,2019-20,151.0,50.67,50.7% of students chronically absent
03M307,2019-20,238.0,56.0,56.0% of students chronically absent
03M333,2019-20,108.0,15.41,15.4% of students chronically absent
03M334,2019-20,14.0,2.68,2.7% of students chronically absent
03M402,2019-20,172.0,53.58,53.6% of students chronically absent
03M403,2019-20,212.0,48.07,48.1% of students chronically absent
03M415,2019-20,141.0,42.86,42.9% of students chronically absent
03M417,2019-20,100.0,24.75,24.8% of students chronically absent
03M421,2019-20,60.0,29.41,29.4% of students chronically absent
03M452,2019-20,64.0,15.02,15.0% of students chronically absent
03M479,2019-20,104.0,7.04,7.0% of students chronically absent
03M485,2019-20,295.0,9.97,10.0% of students chronically absent
03M492,2019-20,203.0,47.43,47.4% of students chronically absent
03M494,2019-20,235.0,49.89,49.9% of students chronically absent
03M541,2019-20,13.0,2.84,2.8% of students chronically absent
03M610,2019-20,97.0,20.29,20.3% of students chronically absent
03M859,2019-20,71.0,22.83,22.8% of students chronically absent
03M860,2019-20,139.0,39.71,39.7% of students chronically absent
03M862,2019-20,47.0,10.98,11.0% of students chronically absent
04M007,2019-20,177.0,43.49,43.5% of students chronically absent
04M012,2019-20,38.0,6.32,6.3% of students chronically absent
04M037,2019-20,110.0,38.73,38.7% of students chronically absent
04M038,2019-20,135.0,47.7,47.7% of students chronically absent
04M057,2019-20,237.0,32.07,32.1% of students chronically absent
04M072,2019-20,245.0,39.52,39.5% of students chronically absent
04M083,2019-20,102.0,26.42,26.4% of students chronically absent
04M096,2019-20,173.0,40.8,40.8% of students chronically absent
04M102,2019-20,90.0,33.83,33.8% of students chronically absent
04M108,2019-20,236.0,48.26,48.3% of students chronically absent
04M112,2019-20,138.0,41.57,41.6% of students chronically absent
04M146,2019-20,160.0,36.28,36.3% of students chronically absent
04M155,2019-20,99.0,37.79,37.8% of students chronically absent
04M171,2019-20,204.0,25.95,25.9% of students chronically absent
04M182,2019-20,90.0,29.22,29.2% of students chronically absent
04M206,2019-20,135.0,28.78,28.8% of students chronically absent
04M224,2019-20,42.0,19.91,19.9% of students chronically absent
04M372,2019-20,207.0,36.9,36.9% of students chronically absent
04M375,2019-20,146.0,51.41,51.4% of students chronically absent
04M377,2019-20,55.0,26.44,26.4% of students chronically absent
04M435,2019-20,235.0,14.03,14.0% of students chronically absent
04M495,2019-20,52.0,13.58,13.6% of students chronically absent
04M497,2019-20,40.0,21.51,21.5% of students chronically absent
04M555,2019-20,30.0,5.77,5.8% of students chronically absent
04M680,2019-20,111.0,34.37,34.4% of students chronically absent
04M825,2019-20,59.0,20.77,20.8% of students chronically absent
04M964,2019-20,147.0,30.37,30.4% of students chronically absent
05M030,2019-20,108.0,41.7,41.7% of students chronically absent
05M036,2019-20,170.0,42.71,42.7% of students chronically absent
05M046,2019-20,224.0,37.58,37.6% of students chronically absent
05M092,2019-20,122.0,45.86,45.9% of students chronically absent
05M123,2019-20,202.0,38.19,38.2% of students chronically absent
05M125,2019-20,97.0,30.12,30.1% of students chronically absent
05M129,2019-20,201.0,47.74,47.7% of students chronically absent
05M133,2019-20,97.0,36.33,36.3% of students chronically absent
05M148,2019-20,190.0,48.59,48.6% of students chronically absent
05M154,2019-20,111.0,37.25,37.2% of students chronically absent
05M157,2019-20,171.0,67.06,67.1% of students chronically absent
05M161,2019-20,279.0,34.83,34.8% of students chronically absent
05M175,2019-20,135.0,35.62,35.6% of students chronically absent
05M194,2019-20,90.0,42.65,42.6% of students chronically absent
05M197,2019-20,132.0,43.0,43.0% of students chronically absent
05M200,2019-20,232.0,56.59,56.6% of students chronically absent
05M286,2019-20,51.0,45.95,46.0% of students chronically absent
05M304,2019-20,120.0,46.69,46.7% of students chronically absent
05M318,2019-20,60.0,28.71,28.7% of students chronically absent
05M362,2019-20,94.0,13.37,13.4% of students chronically absent
05M369,2019-20,180.0,47.0,47.0% of students chronically absent
05M499,2019-20,365.0,32.79,32.8% of students chronically absent
05M514,2019-20,89.0,58.55,58.5% of students chronically absent
05M517,2019-20,80.0,20.2,20.2% of students chronically absent
05M670,2019-20,125.0,22.64,22.6% of students chronically absent
05M692,2019-20,53.0,10.86,10.9% of students chronically absent
06M004,2019-20,180.0,34.75,34.8% of students chronically absent
