DBN,school_year,teacher_q119_disruptive_sel,teacher_q119_disruptive_sel_label,teacher_q120_access_supports,teacher_q120_access_supports_label
75K721,2023-24,86.0,86.0% of adults recognize disruptive behavior as SEL opportunity,82.0,82.0% of adults have access to behavioral/emotional supports
75K753,2023-24,81.0,81.0% of adults recognize disruptive behavior as SEL opportunity,85.0,85.0% of adults have access to behavioral/emotional supports
75K771,2023-24,84.0,84.0% of adults recognize disruptive behavior as SEL opportunity,80.0,80.0% of adults have access to behavioral/emotional supports
75K811,2023-24,96.0,96.0% of adults recognize disruptive behavior as SEL opportunity,98.0,98.0% of adults have access to behavioral/emotional supports
75M035,2023-24,,Data not available,,Data not available
75M079,2023-24,77.0,77.0% of adults recognize disruptive behavior as SEL opportunity,81.0,81.0% of adults have access to behavioral/emotional supports
75M094,2023-24,73.0,73.0% of adults recognize disruptive behavior as SEL opportunity,76.0,76.0% of adults have access to behavioral/emotional supports
75M138,2023-24,75.0,75.0% of adults recognize disruptive behavior as SEL opportunity,60.0,60.0% of adults have access to behavioral/emotional supports
75M169,2023-24,63.0,63.0% of adults recognize disruptive behavior as SEL opportunity,56.0,56.0% of adults have access to behavioral/emotional supports
75M226,2023-24,76.0,76.0% of adults recognize disruptive behavior as SEL opportunity,76.0,76.0% of adults have access to behavioral/emotional supports
75M721,2023-24,40.0,40.0% of adults recognize disruptive behavior as SEL opportunity,33.0,33.0% of adults have access to behavioral/emotional supports
75M751,2023-24,85.0,85.0% of adults recognize disruptive behavior as SEL opportunity,85.0,85.0% of adults have access to behavioral/emotional supports
75M811,2023-24,93.0,93.0% of adults recognize disruptive behavior as SEL opportunity,94.0,94.0% of adults have access to behavioral/emotional supports
75Q004,2023-24,79.0,79.0% of adults recognize disruptive behavior as SEL opportunity,76.0,76.0% of adults have access to behavioral/emotional supports
75Q009,2023-24,72.0,72.0% of adults recognize disruptive behavior as SEL opportunity,68.0,68.0% of adults have access to behavioral/emotional supports
75Q023,2023-24,77.0,77.0% of adults recognize disruptive behavior as SEL opportunity,73.0,73.0% of adults have access to behavioral/emotional supports
75Q075,2023-24,71.0,71.0% of adults recognize disruptive behavior as SEL opportunity,76.0,76.0% of adults have access to behavioral/emotional supports
75Q177,2023-24,78.0,78.0% of adults recognize disruptive behavior as SEL opportunity,84.0,84.0% of adults have access to behavioral/emotional supports
75Q224,2023-24,69.0,69.0% of adults recognize disruptive behavior as SEL opportunity,50.0,50.0% of adults have access to behavioral/emotional supports
75Q233,2023-24,82.0,82.0% of adults recognize disruptive behavior as SEL opportunity,87.0,87.0% of adults have access to behavioral/emotional supports
75Q255,2023-24,85.0,85.0% of adults recognize disruptive behavior as SEL opportunity,82.0,82.0% of adults have access to behavioral/emotional supports
75Q256,2023-24,85.0,85.0% of adults recognize disruptive behavior as SEL opportunity,80.0,80.0% of adults have access to behavioral/emotional supports
75Q277,2023-24,65.0,65.0% of adults recognize disruptive behavior as SEL opportunity,66.0,66.0% of adults have access to behavioral/emotional supports
75Q721,2023-24,90.0,90.0% of adults recognize disruptive behavior as SEL opportunity,93.0,93.0% of adults have access to behavioral/emotional supports
75Q752,2023-24,53.0,53.0% of adults recognize disruptive behavior as SEL opportunity,57.0,57.0% of adults have access to behavioral/emotional supports
75Q811,2023-24,77.0,77.0% of adults recognize disruptive behavior as SEL opportunity,82.0,82.0% of adults have access to behavioral/emotional supports
75Q993,2023-24,82.0,82.0% of adults recognize disruptive behavior as SEL opportunity,77.0,77.0% of adults have access to behavioral/emotional supports
75R025,2023-24,69.0,69.0% of adults recognize disruptive behavior as SEL opportunity,73.0,73.0% of adults have access to behavioral/emotional supports
75R037,2023-24,77.0,77.0% of adults recognize disruptive behavior as SEL opportunity,85.0,85.0% of adults have access to behavioral/emotional supports
75R373,2023-24,67.0,67.0% of adults recognize disruptive behavior as SEL opportunity,64.0,64.0% of adults have access to behavioral/emotional supports
75R721,2023-24,87.0,87.0% of adults recognize disruptive behavior as SEL opportunity,83.0,83.0% of adults have access to behavioral/emotional supports
75X010,2023-24,70.0,70.0% of adults recognize disruptive behavior as SEL opportunity,72.0,72.0% of adults have access to behavioral/emotional supports
