DBN,school_year,teacher_q119_disruptive_sel,teacher_q119_disruptive_sel_label,teacher_q120_access_supports,teacher_q120_access_supports_label
01M015,2020-21,88.0,88.0% of adults recognize disruptive behavior as SEL opportunity,93.0,93.0% of adults have access to behavioral/emotional supports
01M019,2020-21,85.0,85.0% of adults recognize disruptive behavior as SEL opportunity,95.0,95.0% of adults have access to behavioral/emotional supports
01M020,2020-21,83.0,83.0% of adults recognize disruptive behavior as SEL opportunity,82.0,82.0% of adults have access to behavioral/emotional supports
01M034,2020-21,86.0,86.0% of adults recognize disruptive behavior as SEL opportunity,73.0,73.0% of adults have access to behavioral/emotional supports
01M063,2020-21,93.0,93.0% of adults recognize disruptive behavior as SEL opportunity,92.0,92.0% of adults have access to behavioral/emotional supports
01M064,2020-21,82.0,82.0% of adults recognize disruptive behavior as SEL opportunity,91.0,91.0% of adults have access to behavioral/emotional supports
01M110,2020-21,74.0,74.0% of adults recognize disruptive behavior as SEL opportunity,63.0,63.0% of adults have access to behavioral/emotional supports
01M134,2020-21,81.0,81.0% of adults recognize disruptive behavior as SEL opportunity,75.0,75.0% of adults have access to behavioral/emotional supports
01M140,2020-21,71.0,71.0% of adults recognize disruptive behavior as SEL opportunity,76.0,76.0% of adults have access to behavioral/emotional supports
01M142,2020-21,97.0,97.0% of adults recognize disruptive behavior as SEL opportunity,91.0,91.0% of adults have access to behavioral/emotional supports
01M184,2020-21,83.0,83.0% of adults recognize disruptive behavior as SEL opportunity,81.0,81.0% of adults have access to behavioral/emotional supports
01M188,2020-21,91.0,91.0% of adults recognize disruptive behavior as SEL opportunity,90.0,90.0% of adults have access to behavioral/emotional supports
01M292,2020-21,81.0,81.0% of adults recognize disruptive behavior as SEL opportunity,80.0,80.0% of adults have access to behavioral/emotional supports
01M315,2020-21,78.0,78.0% of adults recognize disruptive behavior as SEL opportunity,78.0,78.0% of adults have access to behavioral/emotional supports
01M332,2020-21,67.0,67.0% of adults recognize disruptive behavior as SEL opportunity,76.0,76.0% of adults have access to behavioral/emotional supports
01M361,2020-21,86.0,86.0% of adults recognize disruptive behavior as SEL opportunity,86.0,86.0% of adults have access to behavioral/emotional supports
01M363,2020-21,100.0,100.0% of adults recognize disruptive behavior as SEL opportunity,93.0,93.0% of adults have access to behavioral/emotional supports
01M364,2020-21,92.0,92.0% of adults recognize disruptive behavior as SEL opportunity,92.0,92.0% of adults have access to behavioral/emotional supports
01M378,2020-21,75.0,75.0% of adults recognize disruptive behavior as SEL opportunity,85.0,85.0% of adults have access to behavioral/emotional supports
01M448,2020-21,97.0,97.0% of adults recognize disruptive behavior as SEL opportunity,97.0,97.0% of adults have access to behavioral/emotional supports
01M450,2020-21,100.0,100.0% of adults recognize disruptive behavior as SEL opportunity,96.0,96.0% of adults have access to behavioral/emotional supports
01M458,2020-21,67.0,67.0% of adults recognize disruptive behavior as SEL opportunity,86.0,86.0% of adults have access to behavioral/emotional supports
01M515,2020-21,79.0,79.0% of adults recognize disruptive behavior as SEL opportunity,93.0,93.0% of adults have access to behavioral/emotional supports
01M539,2020-21,66.0,66.0% of adults recognize disruptive behavior as SEL opportunity,80.0,80.0% of adults have access to behavioral/emotional supports
01M650,2020-21,100.0,100.0% of adults recognize disruptive behavior as SEL opportunity,100.0,100.0% of adults have access to behavioral/emotional supports
01M696,2020-21,70.0,70.0% of adults recognize disruptive behavior as SEL opportunity,78.0,78.0% of adults have access to behavioral/emotional supports
01M839,2020-21,88.0,88.0% of adults recognize disruptive behavior as SEL opportunity,94.0,94.0% of adults have access to behavioral/emotional supports
02M001,2020-21,71.0,71.0% of adults recognize disruptive behavior as SEL opportunity,60.0,60.0% of adults have access to behavioral/emotional supports
02M002,2020-21,91.0,91.0% of adults recognize disruptive behavior as SEL opportunity,91.0,91.0% of adults have access to behavioral/emotional supports
02M003,2020-21,78.0,78.0% of adults recognize disruptive behavior as SEL opportunity,77.0,77.0% of adults have access to behavioral/emotional supports
02M006,2020-21,80.0,80.0% of adults recognize disruptive behavior as SEL opportunity,95.0,95.0% of adults have access to behavioral/emotional supports
02M011,2020-21,89.0,89.0% of adults recognize disruptive behavior as SEL opportunity,82.0,82.0% of adults have access to behavioral/emotional supports
02M033,2020-21,93.0,93.0% of adults recognize disruptive behavior as SEL opportunity,71.0,71.0% of adults have access to behavioral/emotional supports
02M040,2020-21,95.0,95.0% of adults recognize disruptive behavior as SEL opportunity,90.0,90.0% of adults have access to behavioral/emotional supports
02M041,2020-21,88.0,88.0% of adults recognize disruptive behavior as SEL opportunity,94.0,94.0% of adults have access to behavioral/emotional supports
02M042,2020-21,100.0,100.0% of adults recognize disruptive behavior as SEL opportunity,100.0,100.0% of adults have access to behavioral/emotional supports
02M047,2020-21,56.0,56.0% of adults recognize disruptive behavior as SEL opportunity,78.0,78.0% of adults have access to behavioral/emotional supports
02M051,2020-21,87.0,87.0% of adults recognize disruptive behavior as SEL opportunity,87.0,87.0% of adults have access to behavioral/emotional supports
02M059,2020-21,95.0,95.0% of adults recognize disruptive behavior as SEL opportunity,90.0,90.0% of adults have access to behavioral/emotional supports
02M077,2020-21,100.0,100.0% of adults recognize disruptive behavior as SEL opportunity,100.0,100.0% of adults have access to behavioral/emotional supports
02M089,2020-21,94.0,94.0% of adults recognize disruptive behavior as SEL opportunity,100.0,100.0% of adults have access to behavioral/emotional supports
02M104,2020-21,70.0,70.0% of adults recognize disruptive behavior as SEL opportunity,84.0,84.0% of adults have access to behavioral/emotional supports
02M111,2020-21,64.0,64.0% of adults recognize disruptive behavior as SEL opportunity,54.0,54.0% of adults have access to behavioral/emotional supports
02M114,2020-21,96.0,96.0% of adults recognize disruptive behavior as SEL opportunity,92.0,92.0% of adults have access to behavioral/emotional supports
02M116,2020-21,95.0,95.0% of adults recognize disruptive behavior as SEL opportunity,100.0,100.0% of adults have access to behavioral/emotional supports
02M124,2020-21,89.0,89.0% of adults recognize disruptive behavior as SEL opportunity,91.0,91.0% of adults have access to behavioral/emotional supports
02M126,2020-21,71.0,71.0% of adults recognize disruptive behavior as SEL opportunity,79.0,79.0% of adults have access to behavioral/emotional supports
02M130,2020-21,85.0,85.0% of adults recognize disruptive behavior as SEL opportunity,93.0,93.0% of adults have access to behavioral/emotional supports
02M131,2020-21,88.0,88.0% of adults recognize disruptive behavior as SEL opportunity,79.0,79.0% of adults have access to behavioral/emotional supports
02M135,2020-21,74.0,74.0% of adults recognize disruptive behavior as SEL opportunity,58.0,58.0% of adults have access to behavioral/emotional supports
02M139,2020-21,68.0,68.0% of adults recognize disruptive behavior as SEL opportunity,89.0,89.0% of adults have access to behavioral/emotional supports
02M150,2020-21,100.0,100.0% of adults recognize disruptive behavior as SEL opportunity,100.0,100.0% of adults have access to behavioral/emotional supports
02M151,2020-21,88.0,88.0% of adults recognize disruptive behavior as SEL opportunity,92.0,92.0% of adults have access to behavioral/emotional supports
02M158,2020-21,96.0,96.0% of adults recognize disruptive behavior as SEL opportunity,100.0,100.0% of adults have access to behavioral/emotional supports
02M167,2020-21,77.0,77.0% of adults recognize disruptive behavior as SEL opportunity,91.0,91.0% of adults have access to behavioral/emotional supports
02M177,2020-21,92.0,92.0% of adults recognize disruptive behavior as SEL opportunity,100.0,100.0% of adults have access to behavioral/emotional supports
02M183,2020-21,72.0,72.0% of adults recognize disruptive behavior as SEL opportunity,88.0,88.0% of adults have access to behavioral/emotional supports
02M198,2020-21,84.0,84.0% of adults recognize disruptive behavior as SEL opportunity,74.0,74.0% of adults have access to behavioral/emotional supports
02M212,2020-21,100.0,100.0% of adults recognize disruptive behavior as SEL opportunity,100.0,100.0% of adults have access to behavioral/emotional supports
02M217,2020-21,85.0,85.0% of adults recognize disruptive behavior as SEL opportunity,91.0,91.0% of adults have access to behavioral/emotional supports
02M225,2020-21,95.0,95.0% of adults recognize disruptive behavior as SEL opportunity,70.0,70.0% of adults have access to behavioral/emotional supports
02M234,2020-21,100.0,100.0% of adults recognize disruptive behavior as SEL opportunity,88.0,88.0% of adults have access to behavioral/emotional supports
02M255,2020-21,95.0,95.0% of adults recognize disruptive behavior as SEL opportunity,95.0,95.0% of adults have access to behavioral/emotional supports
02M260,2020-21,79.0,79.0% of adults recognize disruptive behavior as SEL opportunity,81.0,81.0% of adults have access to behavioral/emotional supports
02M267,2020-21,94.0,94.0% of adults recognize disruptive behavior as SEL opportunity,94.0,94.0% of adults have access to behavioral/emotional supports
02M276,2020-21,89.0,89.0% of adults recognize disruptive behavior as SEL opportunity,87.0,87.0% of adults have access to behavioral/emotional supports
02M281,2020-21,79.0,79.0% of adults recognize disruptive behavior as SEL opportunity,90.0,90.0% of adults have access to behavioral/emotional supports
02M282,2020-21,75.0,75.0% of adults recognize disruptive behavior as SEL opportunity,87.0,87.0% of adults have access to behavioral/emotional supports
02M288,2020-21,83.0,83.0% of adults recognize disruptive behavior as SEL opportunity,58.0,58.0% of adults have access to behavioral/emotional supports
02M289,2020-21,82.0,82.0% of adults recognize disruptive behavior as SEL opportunity,82.0,82.0% of adults have access to behavioral/emotional supports
02M290,2020-21,92.0,92.0% of adults recognize disruptive behavior as SEL opportunity,92.0,92.0% of adults have access to behavioral/emotional supports
02M294,2020-21,90.0,90.0% of adults recognize disruptive behavior as SEL opportunity,95.0,95.0% of adults have access to behavioral/emotional supports
02M297,2020-21,81.0,81.0% of adults recognize disruptive behavior as SEL opportunity,74.0,74.0% of adults have access to behavioral/emotional supports
02M298,2020-21,54.0,54.0% of adults recognize disruptive behavior as SEL opportunity,70.0,70.0% of adults have access to behavioral/emotional supports
02M300,2020-21,93.0,93.0% of adults recognize disruptive behavior as SEL opportunity,93.0,93.0% of adults have access to behavioral/emotional supports
02M303,2020-21,100.0,100.0% of adults recognize disruptive behavior as SEL opportunity,96.0,96.0% of adults have access to behavioral/emotional supports
02M305,2020-21,68.0,68.0% of adults recognize disruptive behavior as SEL opportunity,76.0,76.0% of adults have access to behavioral/emotional supports
02M308,2020-21,56.0,56.0% of adults recognize disruptive behavior as SEL opportunity,56.0,56.0% of adults have access to behavioral/emotional supports
02M312,2020-21,86.0,86.0% of adults recognize disruptive behavior as SEL opportunity,89.0,89.0% of adults have access to behavioral/emotional supports
02M313,2020-21,92.0,92.0% of adults recognize disruptive behavior as SEL opportunity,92.0,92.0% of adults have access to behavioral/emotional supports
02M316,2020-21,82.0,82.0% of adults recognize disruptive behavior as SEL opportunity,82.0,82.0% of adults have access to behavioral/emotional supports
02M340,2020-21,90.0,90.0% of adults recognize disruptive behavior as SEL opportunity,74.0,74.0% of adults have access to behavioral/emotional supports
02M343,2020-21,100.0,100.0% of adults recognize disruptive behavior as SEL opportunity,100.0,100.0% of adults have access to behavioral/emotional supports
02M347,2020-21,78.0,78.0% of adults recognize disruptive behavior as SEL opportunity,83.0,83.0% of adults have access to behavioral/emotional supports
02M374,2020-21,71.0,71.0% of adults recognize disruptive behavior as SEL opportunity,71.0,71.0% of adults have access to behavioral/emotional supports
02M376,2020-21,90.0,90.0% of adults recognize disruptive behavior as SEL opportunity,97.0,97.0% of adults have access to behavioral/emotional supports
02M392,2020-21,84.0,84.0% of adults recognize disruptive behavior as SEL opportunity,85.0,85.0% of adults have access to behavioral/emotional supports
02M393,2020-21,47.0,47.0% of adults recognize disruptive behavior as SEL opportunity,71.0,71.0% of adults have access to behavioral/emotional supports
02M394,2020-21,86.0,86.0% of adults recognize disruptive behavior as SEL opportunity,86.0,86.0% of adults have access to behavioral/emotional supports
02M397,2020-21,84.0,84.0% of adults recognize disruptive behavior as SEL opportunity,92.0,92.0% of adults have access to behavioral/emotional supports
02M399,2020-21,67.0,67.0% of adults recognize disruptive behavior as SEL opportunity,,Data not available
02M400,2020-21,78.0,78.0% of adults recognize disruptive behavior as SEL opportunity,93.0,93.0% of adults have access to behavioral/emotional supports
02M408,2020-21,86.0,86.0% of adults recognize disruptive behavior as SEL opportunity,82.0,82.0% of adults have access to behavioral/emotional supports
02M411,2020-21,79.0,79.0% of adults recognize disruptive behavior as SEL opportunity,85.0,85.0% of adults have access to behavioral/emotional supports
02M412,2020-21,89.0,89.0% of adults recognize disruptive behavior as SEL opportunity,100.0,100.0% of adults have access to behavioral/emotional supports
02M413,2020-21,82.0,82.0% of adults recognize disruptive behavior as SEL opportunity,93.0,93.0% of adults have access to behavioral/emotional supports
02M414,2020-21,67.0,67.0% of adults recognize disruptive behavior as SEL opportunity,69.0,69.0% of adults have access to behavioral/emotional supports
02M416,2020-21,83.0,83.0% of adults recognize disruptive behavior as SEL opportunity,92.0,92.0% of adults have access to behavioral/emotional supports
02M418,2020-21,78.0,78.0% of adults recognize disruptive behavior as SEL opportunity,82.0,82.0% of adults have access to behavioral/emotional supports
02M419,2020-21,76.0,76.0% of adults recognize disruptive behavior as SEL opportunity,82.0,82.0% of adults have access to behavioral/emotional supports
02M420,2020-21,71.0,71.0% of adults recognize disruptive behavior as SEL opportunity,80.0,80.0% of adults have access to behavioral/emotional supports
02M422,2020-21,75.0,75.0% of adults recognize disruptive behavior as SEL opportunity,70.0,70.0% of adults have access to behavioral/emotional supports
02M425,2020-21,88.0,88.0% of adults recognize disruptive behavior as SEL opportunity,82.0,82.0% of adults have access to behavioral/emotional supports
02M427,2020-21,100.0,100.0% of adults recognize disruptive behavior as SEL opportunity,100.0,100.0% of adults have access to behavioral/emotional supports
02M432,2020-21,95.0,95.0% of adults recognize disruptive behavior as SEL opportunity,100.0,100.0% of adults have access to behavioral/emotional supports
02M437,2020-21,67.0,67.0% of adults recognize disruptive behavior as SEL opportunity,88.0,88.0% of adults have access to behavioral/emotional supports
02M438,2020-21,92.0,92.0% of adults recognize disruptive behavior as SEL opportunity,92.0,92.0% of adults have access to behavioral/emotional supports
02M439,2020-21,81.0,81.0% of adults recognize disruptive behavior as SEL opportunity,100.0,100.0% of adults have access to behavioral/emotional supports
02M442,2020-21,100.0,100.0% of adults recognize disruptive behavior as SEL opportunity,89.0,89.0% of adults have access to behavioral/emotional supports
02M449,2020-21,81.0,81.0% of adults recognize disruptive behavior as SEL opportunity,88.0,88.0% of adults have access to behavioral/emotional supports
02M459,2020-21,90.0,90.0% of adults recognize disruptive behavior as SEL opportunity,95.0,95.0% of adults have access to behavioral/emotional supports
02M475,2020-21,69.0,69.0% of adults recognize disruptive behavior as SEL opportunity,87.0,87.0% of adults have access to behavioral/emotional supports
02M489,2020-21,85.0,85.0% of adults recognize disruptive behavior as SEL opportunity,95.0,95.0% of adults have access to behavioral/emotional supports
02M500,2020-21,67.0,67.0% of adults recognize disruptive behavior as SEL opportunity,79.0,79.0% of adults have access to behavioral/emotional supports
02M507,2020-21,88.0,88.0% of adults recognize disruptive behavior as SEL opportunity,79.0,79.0% of adults have access to behavioral/emotional supports
02M519,2020-21,80.0,80.0% of adults recognize disruptive behavior as SEL opportunity,88.0,88.0% of adults have access to behavioral/emotional supports
02M520,2020-21,80.0,80.0% of adults recognize disruptive behavior as SEL opportunity,91.0,91.0% of adults have access to behavioral/emotional supports
02M527,2020-21,96.0,96.0% of adults recognize disruptive behavior as SEL opportunity,93.0,93.0% of adults have access to behavioral/emotional supports
02M529,2020-21,72.0,72.0% of adults recognize disruptive behavior as SEL opportunity,89.0,89.0% of adults have access to behavioral/emotional supports
02M531,2020-21,78.0,78.0% of adults recognize disruptive behavior as SEL opportunity,89.0,89.0% of adults have access to behavioral/emotional supports
02M533,2020-21,73.0,73.0% of adults recognize disruptive behavior as SEL opportunity,86.0,86.0% of adults have access to behavioral/emotional supports
02M534,2020-21,86.0,86.0% of adults recognize disruptive behavior as SEL opportunity,90.0,90.0% of adults have access to behavioral/emotional supports
02M542,2020-21,73.0,73.0% of adults recognize disruptive behavior as SEL opportunity,68.0,68.0% of adults have access to behavioral/emotional supports
02M543,2020-21,85.0,85.0% of adults recognize disruptive behavior as SEL opportunity,92.0,92.0% of adults have access to behavioral/emotional supports
02M544,2020-21,74.0,74.0% of adults recognize disruptive behavior as SEL opportunity,79.0,79.0% of adults have access to behavioral/emotional supports
02M545,2020-21,70.0,70.0% of adults recognize disruptive behavior as SEL opportunity,64.0,64.0% of adults have access to behavioral/emotional supports
02M546,2020-21,100.0,100.0% of adults recognize disruptive behavior as SEL opportunity,100.0,100.0% of adults have access to behavioral/emotional supports
02M550,2020-21,89.0,89.0% of adults recognize disruptive behavior as SEL opportunity,100.0,100.0% of adults have access to behavioral/emotional supports
02M551,2020-21,62.0,62.0% of adults recognize disruptive behavior as SEL opportunity,77.0,77.0% of adults have access to behavioral/emotional supports
02M560,2020-21,79.0,79.0% of adults recognize disruptive behavior as SEL opportunity,87.0,87.0% of adults have access to behavioral/emotional supports
02M565,2020-21,100.0,100.0% of adults recognize disruptive behavior as SEL opportunity,100.0,100.0% of adults have access to behavioral/emotional supports
02M570,2020-21,100.0,100.0% of adults recognize disruptive behavior as SEL opportunity,88.0,88.0% of adults have access to behavioral/emotional supports
02M575,2020-21,81.0,81.0% of adults recognize disruptive behavior as SEL opportunity,100.0,100.0% of adults have access to behavioral/emotional supports
02M580,2020-21,89.0,89.0% of adults recognize disruptive behavior as SEL opportunity,100.0,100.0% of adults have access to behavioral/emotional supports
02M586,2020-21,,Data not available,,Data not available
02M600,2020-21,82.0,82.0% of adults recognize disruptive behavior as SEL opportunity,93.0,93.0% of adults have access to behavioral/emotional supports
02M605,2020-21,100.0,100.0% of adults recognize disruptive behavior as SEL opportunity,100.0,100.0% of adults have access to behavioral/emotional supports
02M615,2020-21,85.0,85.0% of adults recognize disruptive behavior as SEL opportunity,89.0,89.0% of adults have access to behavioral/emotional supports
02M630,2020-21,71.0,71.0% of adults recognize disruptive behavior as SEL opportunity,79.0,79.0% of adults have access to behavioral/emotional supports
02M655,2020-21,92.0,92.0% of adults recognize disruptive behavior as SEL opportunity,88.0,88.0% of adults have access to behavioral/emotional supports
02M896,2020-21,87.0,87.0% of adults recognize disruptive behavior as SEL opportunity,93.0,93.0% of adults have access to behavioral/emotional supports
02M933,2020-21,86.0,86.0% of adults recognize disruptive behavior as SEL opportunity,62.0,62.0% of adults have access to behavioral/emotional supports
03M009,2020-21,96.0,96.0% of adults recognize disruptive behavior as SEL opportunity,96.0,96.0% of adults have access to behavioral/emotional supports
03M054,2020-21,72.0,72.0% of adults recognize disruptive behavior as SEL opportunity,88.0,88.0% of adults have access to behavioral/emotional supports
03M075,2020-21,66.0,66.0% of adults recognize disruptive behavior as SEL opportunity,86.0,86.0% of adults have access to behavioral/emotional supports
03M076,2020-21,29.0,29.0% of adults recognize disruptive behavior as SEL opportunity,43.0,43.0% of adults have access to behavioral/emotional supports
03M084,2020-21,95.0,95.0% of adults recognize disruptive behavior as SEL opportunity,93.0,93.0% of adults have access to behavioral/emotional supports
03M087,2020-21,87.0,87.0% of adults recognize disruptive behavior as SEL opportunity,93.0,93.0% of adults have access to behavioral/emotional supports
03M145,2020-21,82.0,82.0% of adults recognize disruptive behavior as SEL opportunity,90.0,90.0% of adults have access to behavioral/emotional supports
03M149,2020-21,64.0,64.0% of adults recognize disruptive behavior as SEL opportunity,69.0,69.0% of adults have access to behavioral/emotional supports
03M163,2020-21,89.0,89.0% of adults recognize disruptive behavior as SEL opportunity,97.0,97.0% of adults have access to behavioral/emotional supports
03M165,2020-21,92.0,92.0% of adults recognize disruptive behavior as SEL opportunity,96.0,96.0% of adults have access to behavioral/emotional supports
03M166,2020-21,77.0,77.0% of adults recognize disruptive behavior as SEL opportunity,82.0,82.0% of adults have access to behavioral/emotional supports
03M180,2020-21,62.0,62.0% of adults recognize disruptive behavior as SEL opportunity,69.0,69.0% of adults have access to behavioral/emotional supports
03M185,2020-21,89.0,89.0% of adults recognize disruptive behavior as SEL opportunity,94.0,94.0% of adults have access to behavioral/emotional supports
03M191,2020-21,64.0,64.0% of adults recognize disruptive behavior as SEL opportunity,83.0,83.0% of adults have access to behavioral/emotional supports
03M199,2020-21,79.0,79.0% of adults recognize disruptive behavior as SEL opportunity,73.0,73.0% of adults have access to behavioral/emotional supports
03M241,2020-21,70.0,70.0% of adults recognize disruptive behavior as SEL opportunity,50.0,50.0% of adults have access to behavioral/emotional supports
03M242,2020-21,92.0,92.0% of adults recognize disruptive behavior as SEL opportunity,85.0,85.0% of adults have access to behavioral/emotional supports
03M243,2020-21,93.0,93.0% of adults recognize disruptive behavior as SEL opportunity,100.0,100.0% of adults have access to behavioral/emotional supports
03M245,2020-21,82.0,82.0% of adults recognize disruptive behavior as SEL opportunity,100.0,100.0% of adults have access to behavioral/emotional supports
03M247,2020-21,65.0,65.0% of adults recognize disruptive behavior as SEL opportunity,82.0,82.0% of adults have access to behavioral/emotional supports
03M250,2020-21,100.0,100.0% of adults recognize disruptive behavior as SEL opportunity,92.0,92.0% of adults have access to behavioral/emotional supports
03M256,2020-21,94.0,94.0% of adults recognize disruptive behavior as SEL opportunity,94.0,94.0% of adults have access to behavioral/emotional supports
03M258,2020-21,72.0,72.0% of adults recognize disruptive behavior as SEL opportunity,89.0,89.0% of adults have access to behavioral/emotional supports
03M291,2020-21,87.0,87.0% of adults recognize disruptive behavior as SEL opportunity,90.0,90.0% of adults have access to behavioral/emotional supports
03M299,2020-21,40.0,40.0% of adults recognize disruptive behavior as SEL opportunity,56.0,56.0% of adults have access to behavioral/emotional supports
03M307,2020-21,88.0,88.0% of adults recognize disruptive behavior as SEL opportunity,92.0,92.0% of adults have access to behavioral/emotional supports
03M333,2020-21,80.0,80.0% of adults recognize disruptive behavior as SEL opportunity,73.0,73.0% of adults have access to behavioral/emotional supports
03M334,2020-21,69.0,69.0% of adults recognize disruptive behavior as SEL opportunity,69.0,69.0% of adults have access to behavioral/emotional supports
03M402,2020-21,85.0,85.0% of adults recognize disruptive behavior as SEL opportunity,95.0,95.0% of adults have access to behavioral/emotional supports
03M403,2020-21,81.0,81.0% of adults recognize disruptive behavior as SEL opportunity,88.0,88.0% of adults have access to behavioral/emotional supports
03M404,2020-21,100.0,100.0% of adults recognize disruptive behavior as SEL opportunity,89.0,89.0% of adults have access to behavioral/emotional supports
03M415,2020-21,86.0,86.0% of adults recognize disruptive behavior as SEL opportunity,100.0,100.0% of adults have access to behavioral/emotional supports
03M417,2020-21,87.0,87.0% of adults recognize disruptive behavior as SEL opportunity,86.0,86.0% of adults have access to behavioral/emotional supports
03M421,2020-21,100.0,100.0% of adults recognize disruptive behavior as SEL opportunity,100.0,100.0% of adults have access to behavioral/emotional supports
03M452,2020-21,96.0,96.0% of adults recognize disruptive behavior as SEL opportunity,92.0,92.0% of adults have access to behavioral/emotional supports
03M479,2020-21,69.0,69.0% of adults recognize disruptive behavior as SEL opportunity,73.0,73.0% of adults have access to behavioral/emotional supports
03M485,2020-21,72.0,72.0% of adults recognize disruptive behavior as SEL opportunity,60.0,60.0% of adults have access to behavioral/emotional supports
03M494,2020-21,88.0,88.0% of adults recognize disruptive behavior as SEL opportunity,96.0,96.0% of adults have access to behavioral/emotional supports
03M505,2020-21,65.0,65.0% of adults recognize disruptive behavior as SEL opportunity,82.0,82.0% of adults have access to behavioral/emotional supports
03M541,2020-21,75.0,75.0% of adults recognize disruptive behavior as SEL opportunity,94.0,94.0% of adults have access to behavioral/emotional supports
03M859,2020-21,100.0,100.0% of adults recognize disruptive behavior as SEL opportunity,100.0,100.0% of adults have access to behavioral/emotional supports
03M860,2020-21,71.0,71.0% of adults recognize disruptive behavior as SEL opportunity,77.0,77.0% of adults have access to behavioral/emotional supports
03M862,2020-21,67.0,67.0% of adults recognize disruptive behavior as SEL opportunity,88.0,88.0% of adults have access to behavioral/emotional supports
04M007,2020-21,80.0,80.0% of adults recognize disruptive behavior as SEL opportunity,60.0,60.0% of adults have access to behavioral/emotional supports
04M012,2020-21,94.0,94.0% of adults recognize disruptive behavior as SEL opportunity,88.0,88.0% of adults have access to behavioral/emotional supports
04M037,2020-21,81.0,81.0% of adults recognize disruptive behavior as SEL opportunity,78.0,78.0% of adults have access to behavioral/emotional supports
04M038,2020-21,75.0,75.0% of adults recognize disruptive behavior as SEL opportunity,83.0,83.0% of adults have access to behavioral/emotional supports
04M057,2020-21,76.0,76.0% of adults recognize disruptive behavior as SEL opportunity,76.0,76.0% of adults have access to behavioral/emotional supports
04M072,2020-21,88.0,88.0% of adults recognize disruptive behavior as SEL opportunity,72.0,72.0% of adults have access to behavioral/emotional supports
04M083,2020-21,79.0,79.0% of adults recognize disruptive behavior as SEL opportunity,77.0,77.0% of adults have access to behavioral/emotional supports
04M096,2020-21,90.0,90.0% of adults recognize disruptive behavior as SEL opportunity,91.0,91.0% of adults have access to behavioral/emotional supports
04M102,2020-21,56.0,56.0% of adults recognize disruptive behavior as SEL opportunity,59.0,59.0% of adults have access to behavioral/emotional supports
04M108,2020-21,75.0,75.0% of adults recognize disruptive behavior as SEL opportunity,76.0,76.0% of adults have access to behavioral/emotional supports
04M155,2020-21,85.0,85.0% of adults recognize disruptive behavior as SEL opportunity,68.0,68.0% of adults have access to behavioral/emotional supports
04M171,2020-21,71.0,71.0% of adults recognize disruptive behavior as SEL opportunity,81.0,81.0% of adults have access to behavioral/emotional supports
04M182,2020-21,100.0,100.0% of adults recognize disruptive behavior as SEL opportunity,100.0,100.0% of adults have access to behavioral/emotional supports
04M206,2020-21,80.0,80.0% of adults recognize disruptive behavior as SEL opportunity,86.0,86.0% of adults have access to behavioral/emotional supports
04M224,2020-21,67.0,67.0% of adults recognize disruptive behavior as SEL opportunity,93.0,93.0% of adults have access to behavioral/emotional supports
04M310,2020-21,100.0,100.0% of adults recognize disruptive behavior as SEL opportunity,100.0,100.0% of adults have access to behavioral/emotional supports
04M372,2020-21,91.0,91.0% of adults recognize disruptive behavior as SEL opportunity,100.0,100.0% of adults have access to behavioral/emotional supports
04M375,2020-21,62.0,62.0% of adults recognize disruptive behavior as SEL opportunity,62.0,62.0% of adults have access to behavioral/emotional supports
04M377,2020-21,87.0,87.0% of adults recognize disruptive behavior as SEL opportunity,93.0,93.0% of adults have access to behavioral/emotional supports
04M435,2020-21,100.0,100.0% of adults recognize disruptive behavior as SEL opportunity,100.0,100.0% of adults have access to behavioral/emotional supports
04M495,2020-21,60.0,60.0% of adults recognize disruptive behavior as SEL opportunity,73.0,73.0% of adults have access to behavioral/emotional supports
04M497,2020-21,80.0,80.0% of adults recognize disruptive behavior as SEL opportunity,82.0,82.0% of adults have access to behavioral/emotional supports
04M555,2020-21,92.0,92.0% of adults recognize disruptive behavior as SEL opportunity,100.0,100.0% of adults have access to behavioral/emotional supports
04M610,2020-21,77.0,77.0% of adults recognize disruptive behavior as SEL opportunity,82.0,82.0% of adults have access to behavioral/emotional supports
04M680,2020-21,76.0,76.0% of adults recognize disruptive behavior as SEL opportunity,88.0,88.0% of adults have access to behavioral/emotional supports
04M825,2020-21,86.0,86.0% of adults recognize disruptive behavior as SEL opportunity,95.0,95.0% of adults have access to behavioral/emotional supports
04M964,2020-21,89.0,89.0% of adults recognize disruptive behavior as SEL opportunity,69.0,69.0% of adults have access to behavioral/emotional supports
05M030,2020-21,85.0,85.0% of adults recognize disruptive behavior as SEL opportunity,90.0,90.0% of adults have access to behavioral/emotional supports
05M036,2020-21,75.0,75.0% of adults recognize disruptive behavior as SEL opportunity,71.0,71.0% of adults have access to behavioral/emotional supports
05M046,2020-21,94.0,94.0% of adults recognize disruptive behavior as SEL opportunity,97.0,97.0% of adults have access to behavioral/emotional supports
05M092,2020-21,92.0,92.0% of adults recognize disruptive behavior as SEL opportunity,79.0,79.0% of adults have access to behavioral/emotional supports
05M123,2020-21,81.0,81.0% of adults recognize disruptive behavior as SEL opportunity,77.0,77.0% of adults have access to behavioral/emotional supports
05M125,2020-21,93.0,93.0% of adults recognize disruptive behavior as SEL opportunity,93.0,93.0% of adults have access to behavioral/emotional supports
