DBN,school_year,temp_housing_count,temp_housing_rate,temp_housing_rate_label
02M437,2020-21,43.0,11.8,11.8% of students in temporary housing
02M438,2020-21,119.0,35.3,35.3% of students in temporary housing
02M439,2020-21,16.0,3.5,3.5% of students in temporary housing
02M442,2020-21,,,Data suppressed
02M444,2020-21,22.0,3.7,3.7% of students in temporary housing
02M449,2020-21,30.0,7.0,7.0% of students in temporary housing
02M459,2020-21,49.0,16.4,16.4% of students in temporary housing
02M475,2020-21,44.0,1.3,1.3% of students in temporary housing
02M489,2020-21,60.0,8.1,8.1% of students in temporary housing
02M500,2020-21,34.0,10.2,10.2% of students in temporary housing
02M507,2020-21,32.0,7.0,7.0% of students in temporary housing
02M519,2020-21,11.0,2.1,2.1% of students in temporary housing
02M520,2020-21,16.0,12.7,12.7% of students in temporary housing
02M527,2020-21,13.0,2.7,2.7% of students in temporary housing
02M529,2020-21,20.0,10.0,10.0% of students in temporary housing
02M531,2020-21,8.0,3.3,3.3% of students in temporary housing
02M533,2020-21,37.0,9.0,9.0% of students in temporary housing
02M534,2020-21,34.0,7.1,7.1% of students in temporary housing
02M542,2020-21,94.0,18.1,18.1% of students in temporary housing
02M543,2020-21,57.0,11.2,11.2% of students in temporary housing
02M544,2020-21,59.0,16.5,16.5% of students in temporary housing
02M545,2020-21,63.0,15.6,15.6% of students in temporary housing
02M546,2020-21,33.0,7.3,7.3% of students in temporary housing
02M550,2020-21,146.0,33.2,33.2% of students in temporary housing
02M551,2020-21,28.0,5.5,5.5% of students in temporary housing
02M560,2020-21,54.0,9.0,9.0% of students in temporary housing
02M565,2020-21,8.0,5.4,5.4% of students in temporary housing
02M570,2020-21,18.0,7.7,7.7% of students in temporary housing
02M575,2020-21,98.0,11.8,11.8% of students in temporary housing
02M580,2020-21,20.0,6.8,6.8% of students in temporary housing
02M586,2020-21,8.0,11.9,11.9% of students in temporary housing
02M600,2020-21,124.0,7.5,7.5% of students in temporary housing
02M605,2020-21,33.0,12.9,12.9% of students in temporary housing
02M615,2020-21,42.0,8.9,8.9% of students in temporary housing
02M630,2020-21,52.0,3.5,3.5% of students in temporary housing
02M655,2020-21,28.0,8.0,8.0% of students in temporary housing
02M700,2020-21,42.0,4.9,4.9% of students in temporary housing
02M896,2020-21,9.0,2.3,2.3% of students in temporary housing
02M933,2020-21,40.0,29.2,29.2% of students in temporary housing
03M009,2020-21,32.0,6.0,6.0% of students in temporary housing
03M054,2020-21,22.0,2.6,2.6% of students in temporary housing
03M075,2020-21,58.0,11.7,11.7% of students in temporary housing
03M076,2020-21,81.0,25.0,25.0% of students in temporary housing
03M084,2020-21,23.0,3.6,3.6% of students in temporary housing
03M087,2020-21,,,Data suppressed
03M145,2020-21,50.0,12.1,12.1% of students in temporary housing
03M149,2020-21,39.0,18.1,18.1% of students in temporary housing
03M163,2020-21,48.0,9.5,9.5% of students in temporary housing
03M165,2020-21,70.0,16.9,16.9% of students in temporary housing
03M166,2020-21,15.0,2.5,2.5% of students in temporary housing
03M180,2020-21,73.0,15.8,15.8% of students in temporary housing
03M185,2020-21,27.0,8.2,8.2% of students in temporary housing
03M191,2020-21,69.0,12.0,12.0% of students in temporary housing
03M199,2020-21,,,Data suppressed
03M241,2020-21,13.0,11.3,11.3% of students in temporary housing
03M242,2020-21,37.0,27.0,27.0% of students in temporary housing
03M243,2020-21,6.0,2.4,2.4% of students in temporary housing
03M245,2020-21,20.0,4.8,4.8% of students in temporary housing
03M247,2020-21,40.0,17.0,17.0% of students in temporary housing
03M250,2020-21,12.0,10.1,10.1% of students in temporary housing
03M256,2020-21,15.0,8.2,8.2% of students in temporary housing
03M258,2020-21,35.0,15.1,15.1% of students in temporary housing
03M291,2020-21,27.0,3.9,3.9% of students in temporary housing
03M299,2020-21,20.0,10.2,10.2% of students in temporary housing
