DBN,school_year,suspension_total,suspension_rate,suspension_rate_label
02M544,2020-21,0.0,0.0,0.0% of students suspended
02M545,2020-21,0.0,0.0,0.0% of students suspended
02M546,2020-21,,,Data suppressed
02M550,2020-21,0.0,0.0,0.0% of students suspended
02M551,2020-21,0.0,0.0,0.0% of students suspended
02M560,2020-21,0.0,0.0,0.0% of students suspended
02M565,2020-21,0.0,0.0,0.0% of students suspended
02M570,2020-21,0.0,0.0,0.0% of students suspended
02M575,2020-21,0.0,0.0,0.0% of students suspended
02M580,2020-21,0.0,0.0,0.0% of students suspended
02M586,2020-21,0.0,0.0,0.0% of students suspended
02M600,2020-21,0.0,0.0,0.0% of students suspended
02M605,2020-21,0.0,0.0,0.0% of students suspended
02M615,2020-21,0.0,0.0,0.0% of students suspended
02M630,2020-21,,,Data suppressed
02M655,2020-21,,,Data suppressed
02M893,2020-21,0.0,,Data suppressed
02M896,2020-21,0.0,0.0,0.0% of students suspended
02M902,2020-21,0.0,,Data suppressed
02M933,2020-21,0.0,,Data suppressed
03M009,2020-21,0.0,0.0,0.0% of students suspended
03M054,2020-21,,,Data suppressed
03M075,2020-21,0.0,0.0,0.0% of students suspended
03M076,2020-21,0.0,0.0,0.0% of students suspended
03M084,2020-21,0.0,0.0,0.0% of students suspended
03M087,2020-21,0.0,0.0,0.0% of students suspended
03M145,2020-21,,,Data suppressed
03M149,2020-21,0.0,0.0,0.0% of students suspended
03M163,2020-21,0.0,0.0,0.0% of students suspended
03M165,2020-21,7.0,1.84,1.8% of students suspended
03M166,2020-21,,,Data suppressed
03M180,2020-21,0.0,0.0,0.0% of students suspended
03M185,2020-21,,,Data suppressed
03M191,2020-21,,,Data suppressed
03M199,2020-21,0.0,0.0,0.0% of students suspended
03M241,2020-21,,,Data suppressed
03M242,2020-21,0.0,0.0,0.0% of students suspended
03M243,2020-21,0.0,0.0,0.0% of students suspended
03M245,2020-21,0.0,0.0,0.0% of students suspended
03M247,2020-21,0.0,0.0,0.0% of students suspended
03M250,2020-21,0.0,,Data suppressed
03M256,2020-21,0.0,0.0,0.0% of students suspended
03M258,2020-21,,,Data suppressed
03M291,2020-21,,,Data suppressed
03M299,2020-21,0.0,,Data suppressed
03M307,2020-21,0.0,0.0,0.0% of students suspended
03M333,2020-21,0.0,0.0,0.0% of students suspended
03M334,2020-21,0.0,0.0,0.0% of students suspended
03M402,2020-21,,,Data suppressed
03M403,2020-21,0.0,0.0,0.0% of students suspended
03M404,2020-21,0.0,0.0,0.0% of students suspended
03M415,2020-21,0.0,0.0,0.0% of students suspended
03M417,2020-21,0.0,0.0,0.0% of students suspended
03M421,2020-21,0.0,0.0,0.0% of students suspended
03M452,2020-21,,,Data suppressed
03M479,2020-21,0.0,0.0,0.0% of students suspended
03M485,2020-21,0.0,0.0,0.0% of students suspended
03M492,2020-21,0.0,0.0,0.0% of students suspended
03M494,2020-21,0.0,0.0,0.0% of students suspended
03M505,2020-21,0.0,,Data suppressed
03M541,2020-21,0.0,0.0,0.0% of students suspended
03M859,2020-21,0.0,0.0,0.0% of students suspended
03M860,2020-21,0.0,0.0,0.0% of students suspended
03M862,2020-21,8.0,2.04,2.0% of students suspended
04M007,2020-21,,,Data suppressed
04M012,2020-21,0.0,0.0,0.0% of students suspended
04M037,2020-21,0.0,0.0,0.0% of students suspended
04M038,2020-21,0.0,0.0,0.0% of students suspended
04M057,2020-21,0.0,0.0,0.0% of students suspended
04M072,2020-21,0.0,0.0,0.0% of students suspended
04M083,2020-21,0.0,0.0,0.0% of students suspended
04M096,2020-21,6.0,1.6,1.6% of students suspended
04M102,2020-21,0.0,0.0,0.0% of students suspended
04M108,2020-21,,,Data suppressed
04M112,2020-21,0.0,0.0,0.0% of students suspended
04M146,2020-21,0.0,0.0,0.0% of students suspended
04M155,2020-21,0.0,0.0,0.0% of students suspended
04M171,2020-21,,,Data suppressed
04M182,2020-21,0.0,0.0,0.0% of students suspended
04M206,2020-21,0.0,0.0,0.0% of students suspended
04M224,2020-21,0.0,0.0,0.0% of students suspended
04M310,2020-21,0.0,0.0,0.0% of students suspended
04M372,2020-21,,,Data suppressed
04M375,2020-21,0.0,0.0,0.0% of students suspended
04M377,2020-21,0.0,0.0,0.0% of students suspended
04M435,2020-21,0.0,0.0,0.0% of students suspended
04M495,2020-21,0.0,0.0,0.0% of students suspended
04M497,2020-21,0.0,0.0,0.0% of students suspended
04M555,2020-21,0.0,0.0,0.0% of students suspended
04M610,2020-21,0.0,,Data suppressed
04M680,2020-21,0.0,0.0,0.0% of students suspended
04M825,2020-21,0.0,0.0,0.0% of students suspended
04M964,2020-21,0.0,0.0,0.0% of students suspended
05M030,2020-21,,,Data suppressed
05M036,2020-21,0.0,0.0,0.0% of students suspended
05M046,2020-21,6.0,1.22,1.2% of students suspended
05M092,2020-21,0.0,0.0,0.0% of students suspended
05M123,2020-21,0.0,0.0,0.0% of students suspended
05M125,2020-21,,,Data suppressed
05M129,2020-21,0.0,0.0,0.0% of students suspended
05M133,2020-21,0.0,0.0,0.0% of students suspended
05M148,2020-21,0.0,0.0,0.0% of students suspended
05M154,2020-21,0.0,0.0,0.0% of students suspended
05M157,2020-21,0.0,0.0,0.0% of students suspended
05M161,2020-21,,,Data suppressed
05M175,2020-21,0.0,0.0,0.0% of students suspended
05M194,2020-21,0.0,0.0,0.0% of students suspended
05M197,2020-21,0.0,0.0,0.0% of students suspended
05M200,2020-21,0.0,0.0,0.0% of students suspended
05M285,2020-21,0.0,0.0,0.0% of students suspended
05M286,2020-21,0.0,0.0,0.0% of students suspended
05M304,2020-21,0.0,0.0,0.0% of students suspended
05M318,2020-21,0.0,0.0,0.0% of students suspended
05M362,2020-21,,,Data suppressed
05M369,2020-21,,,Data suppressed
05M371,2020-21,0.0,0.0,0.0% of students suspended
05M499,2020-21,0.0,0.0,0.0% of students suspended
05M514,2020-21,0.0,0.0,0.0% of students suspended
05M517,2020-21,0.0,0.0,0.0% of students suspended
05M670,2020-21,0.0,0.0,0.0% of students suspended
05M692,2020-21,0.0,0.0,0.0% of students suspended
06M004,2020-21,,,Data suppressed
06M005,2020-21,0.0,0.0,0.0% of students suspended
06M008,2020-21,0.0,0.0,0.0% of students suspended
06M018,2020-21,0.0,0.0,0.0% of students suspended
06M028,2020-21,,,Data suppressed
06M048,2020-21,,,Data suppressed
06M052,2020-21,0.0,0.0,0.0% of students suspended
06M098,2020-21,0.0,0.0,0.0% of students suspended
06M103,2020-21,0.0,0.0,0.0% of students suspended
06M115,2020-21,0.0,0.0,0.0% of students suspended
06M128,2020-21,0.0,0.0,0.0% of students suspended
06M132,2020-21,0.0,0.0,0.0% of students suspended
06M143,2020-21,0.0,0.0,0.0% of students suspended
06M152,2020-21,0.0,0.0,0.0% of students suspended
06M153,2020-21,0.0,0.0,0.0% of students suspended
06M173,2020-21,0.0,0.0,0.0% of students suspended
06M178,2020-21,0.0,0.0,0.0% of students suspended
06M187,2020-21,,,Data suppressed
06M189,2020-21,0.0,0.0,0.0% of students suspended
06M192,2020-21,0.0,0.0,0.0% of students suspended
06M209,2020-21,0.0,0.0,0.0% of students suspended
06M210,2020-21,0.0,0.0,0.0% of students suspended
06M211,2020-21,0.0,0.0,0.0% of students suspended
06M223,2020-21,0.0,0.0,0.0% of students suspended
06M278,2020-21,0.0,0.0,0.0% of students suspended
06M293,2020-21,0.0,0.0,0.0% of students suspended
06M311,2020-21,0.0,0.0,0.0% of students suspended
06M314,2020-21,0.0,0.0,0.0% of students suspended
06M319,2020-21,0.0,0.0,0.0% of students suspended
06M322,2020-21,0.0,0.0,0.0% of students suspended
06M324,2020-21,0.0,0.0,0.0% of students suspended
06M328,2020-21,0.0,0.0,0.0% of students suspended
06M346,2020-21,,,Data suppressed
06M348,2020-21,0.0,0.0,0.0% of students suspended
06M349,2020-21,0.0,,Data suppressed
06M366,2020-21,0.0,0.0,0.0% of students suspended
06M368,2020-21,0.0,0.0,0.0% of students suspended
06M423,2020-21,0.0,0.0,0.0% of students suspended
06M462,2020-21,0.0,0.0,0.0% of students suspended
06M463,2020-21,0.0,0.0,0.0% of students suspended
06M467,2020-21,0.0,0.0,0.0% of students suspended
06M468,2020-21,0.0,0.0,0.0% of students suspended
06M513,2020-21,0.0,0.0,0.0% of students suspended
06M528,2020-21,0.0,0.0,0.0% of students suspended
06M540,2020-21,0.0,0.0,0.0% of students suspended
06M552,2020-21,0.0,0.0,0.0% of students suspended
07X001,2020-21,0.0,0.0,0.0% of students suspended
07X005,2020-21,0.0,0.0,0.0% of students suspended
07X018,2020-21,0.0,0.0,0.0% of students suspended
07X025,2020-21,0.0,0.0,0.0% of students suspended
07X029,2020-21,0.0,0.0,0.0% of students suspended
07X030,2020-21,0.0,0.0,0.0% of students suspended
07X031,2020-21,0.0,0.0,0.0% of students suspended
07X043,2020-21,0.0,0.0,0.0% of students suspended
07X049,2020-21,0.0,0.0,0.0% of students suspended
07X065,2020-21,0.0,0.0,0.0% of students suspended
07X151,2020-21,0.0,,Data suppressed
07X154,2020-21,0.0,0.0,0.0% of students suspended
07X157,2020-21,0.0,0.0,0.0% of students suspended
07X161,2020-21,0.0,0.0,0.0% of students suspended
07X179,2020-21,0.0,0.0,0.0% of students suspended
07X221,2020-21,0.0,0.0,0.0% of students suspended
07X223,2020-21,0.0,0.0,0.0% of students suspended
07X224,2020-21,0.0,0.0,0.0% of students suspended
07X259,2020-21,0.0,0.0,0.0% of students suspended
07X277,2020-21,0.0,0.0,0.0% of students suspended
07X296,2020-21,0.0,0.0,0.0% of students suspended
07X298,2020-21,0.0,0.0,0.0% of students suspended
07X334,2020-21,0.0,0.0,0.0% of students suspended
07X343,2020-21,0.0,0.0,0.0% of students suspended
07X359,2020-21,0.0,0.0,0.0% of students suspended
07X369,2020-21,0.0,0.0,0.0% of students suspended
07X379,2020-21,0.0,0.0,0.0% of students suspended
07X381,2020-21,,,Data suppressed
07X427,2020-21,0.0,0.0,0.0% of students suspended
07X473,2020-21,0.0,0.0,0.0% of students suspended
07X495,2020-21,0.0,0.0,0.0% of students suspended
07X500,2020-21,,,Data suppressed
07X522,2020-21,0.0,0.0,0.0% of students suspended
07X527,2020-21,0.0,0.0,0.0% of students suspended
07X548,2020-21,0.0,0.0,0.0% of students suspended
07X551,2020-21,0.0,0.0,0.0% of students suspended
07X557,2020-21,0.0,0.0,0.0% of students suspended
07X584,2020-21,0.0,0.0,0.0% of students suspended
07X600,2020-21,,,Data suppressed
07X625,2020-21,0.0,0.0,0.0% of students suspended
07X670,2020-21,0.0,0.0,0.0% of students suspended
08X014,2020-21,0.0,0.0,0.0% of students suspended
08X036,2020-21,0.0,0.0,0.0% of students suspended
08X048,2020-21,0.0,0.0,0.0% of students suspended
08X062,2020-21,0.0,0.0,0.0% of students suspended
08X069,2020-21,0.0,0.0,0.0% of students suspended
08X071,2020-21,,,Data suppressed
08X072,2020-21,0.0,0.0,0.0% of students suspended
