DBN,school_year,suspension_total,suspension_rate,suspension_rate_label
05M197,2021-22,8.0,3.64,3.6% of students suspended
05M200,2021-22,,,Data suppressed
05M285,2021-22,,,Data suppressed
05M286,2021-22,,,Data suppressed
05M304,2021-22,6.0,2.93,2.9% of students suspended
05M318,2021-22,,,Data suppressed
05M362,2021-22,9.0,1.38,1.4% of students suspended
05M369,2021-22,39.0,11.93,11.9% of students suspended
05M371,2021-22,14.0,10.69,10.7% of students suspended
05M499,2021-22,23.0,2.62,2.6% of students suspended
05M514,2021-22,19.0,19.0,19.0% of students suspended
05M517,2021-22,38.0,10.95,10.9% of students suspended
05M670,2021-22,109.0,21.08,21.1% of students suspended
05M692,2021-22,,,Data suppressed
06M004,2021-22,7.0,1.51,1.5% of students suspended
06M005,2021-22,,,Data suppressed
06M008,2021-22,10.0,2.75,2.8% of students suspended
06M018,2021-22,,,Data suppressed
06M028,2021-22,11.0,2.54,2.5% of students suspended
06M048,2021-22,0.0,0.0,0.0% of students suspended
06M052,2021-22,30.0,15.54,15.5% of students suspended
06M098,2021-22,0.0,0.0,0.0% of students suspended
06M103,2021-22,0.0,0.0,0.0% of students suspended
06M115,2021-22,0.0,0.0,0.0% of students suspended
06M128,2021-22,19.0,3.63,3.6% of students suspended
06M132,2021-22,,,Data suppressed
06M143,2021-22,20.0,10.15,10.2% of students suspended
06M152,2021-22,0.0,0.0,0.0% of students suspended
06M153,2021-22,6.0,1.49,1.5% of students suspended
06M173,2021-22,0.0,0.0,0.0% of students suspended
06M178,2021-22,,,Data suppressed
06M187,2021-22,10.0,1.38,1.4% of students suspended
06M189,2021-22,,,Data suppressed
06M192,2021-22,0.0,0.0,0.0% of students suspended
06M209,2021-22,,,Data suppressed
06M210,2021-22,19.0,4.62,4.6% of students suspended
06M211,2021-22,0.0,0.0,0.0% of students suspended
06M223,2021-22,0.0,0.0,0.0% of students suspended
06M278,2021-22,16.0,3.88,3.9% of students suspended
06M293,2021-22,,,Data suppressed
06M311,2021-22,0.0,0.0,0.0% of students suspended
06M314,2021-22,,,Data suppressed
06M319,2021-22,,,Data suppressed
06M322,2021-22,14.0,5.43,5.4% of students suspended
06M324,2021-22,32.0,12.03,12.0% of students suspended
06M328,2021-22,14.0,9.46,9.5% of students suspended
06M346,2021-22,53.0,8.58,8.6% of students suspended
06M348,2021-22,13.0,1.36,1.4% of students suspended
06M349,2021-22,,,Data suppressed
06M366,2021-22,6.0,1.16,1.2% of students suspended
06M368,2021-22,0.0,0.0,0.0% of students suspended
06M423,2021-22,,,Data suppressed
06M462,2021-22,12.0,3.81,3.8% of students suspended
06M463,2021-22,20.0,6.06,6.1% of students suspended
06M467,2021-22,13.0,3.53,3.5% of students suspended
06M468,2021-22,28.0,7.09,7.1% of students suspended
06M513,2021-22,0.0,0.0,0.0% of students suspended
06M528,2021-22,6.0,2.54,2.5% of students suspended
06M540,2021-22,75.0,5.1,5.1% of students suspended
06M552,2021-22,12.0,2.21,2.2% of students suspended
07X001,2021-22,0.0,0.0,0.0% of students suspended
07X005,2021-22,,,Data suppressed
07X018,2021-22,,,Data suppressed
07X025,2021-22,,,Data suppressed
07X029,2021-22,53.0,7.54,7.5% of students suspended
07X030,2021-22,0.0,0.0,0.0% of students suspended
07X031,2021-22,13.0,2.01,2.0% of students suspended
07X043,2021-22,,,Data suppressed
07X049,2021-22,0.0,0.0,0.0% of students suspended
07X065,2021-22,0.0,0.0,0.0% of students suspended
07X154,2021-22,0.0,0.0,0.0% of students suspended
07X157,2021-22,,,Data suppressed
07X161,2021-22,11.0,3.36,3.4% of students suspended
07X179,2021-22,,,Data suppressed
07X221,2021-22,81.0,12.84,12.8% of students suspended
07X223,2021-22,,,Data suppressed
07X224,2021-22,,,Data suppressed
07X259,2021-22,100.0,14.99,15.0% of students suspended
07X277,2021-22,,,Data suppressed
07X296,2021-22,,,Data suppressed
07X298,2021-22,17.0,10.69,10.7% of students suspended
07X334,2021-22,24.0,6.74,6.7% of students suspended
07X343,2021-22,34.0,11.81,11.8% of students suspended
07X359,2021-22,0.0,0.0,0.0% of students suspended
07X369,2021-22,,,Data suppressed
07X379,2021-22,0.0,0.0,0.0% of students suspended
07X381,2021-22,16.0,13.33,13.3% of students suspended
07X427,2021-22,55.0,19.57,19.6% of students suspended
07X473,2021-22,21.0,10.5,10.5% of students suspended
07X495,2021-22,14.0,2.44,2.4% of students suspended
07X500,2021-22,15.0,2.75,2.8% of students suspended
07X522,2021-22,32.0,12.4,12.4% of students suspended
07X527,2021-22,51.0,10.9,10.9% of students suspended
07X548,2021-22,24.0,4.68,4.7% of students suspended
07X551,2021-22,22.0,3.83,3.8% of students suspended
07X557,2021-22,,,Data suppressed
07X584,2021-22,19.0,8.92,8.9% of students suspended
07X600,2021-22,44.0,10.09,10.1% of students suspended
07X625,2021-22,6.0,5.13,5.1% of students suspended
07X670,2021-22,24.0,8.14,8.1% of students suspended
08X014,2021-22,,,Data suppressed
08X036,2021-22,,,Data suppressed
08X048,2021-22,,,Data suppressed
08X062,2021-22,0.0,0.0,0.0% of students suspended
08X069,2021-22,,,Data suppressed
08X071,2021-22,40.0,3.17,3.2% of students suspended
08X072,2021-22,9.0,1.42,1.4% of students suspended
08X075,2021-22,,,Data suppressed
08X093,2021-22,0.0,0.0,0.0% of students suspended
08X100,2021-22,,,Data suppressed
08X101,2021-22,19.0,3.52,3.5% of students suspended
08X107,2021-22,0.0,0.0,0.0% of students suspended
08X119,2021-22,0.0,0.0,0.0% of students suspended
08X123,2021-22,59.0,10.83,10.8% of students suspended
08X130,2021-22,0.0,0.0,0.0% of students suspended
08X131,2021-22,39.0,11.37,11.4% of students suspended
08X138,2021-22,0.0,0.0,0.0% of students suspended
08X140,2021-22,,,Data suppressed
08X146,2021-22,0.0,0.0,0.0% of students suspended
08X152,2021-22,0.0,0.0,0.0% of students suspended
08X182,2021-22,0.0,0.0,0.0% of students suspended
08X269,2021-22,21.0,3.4,3.4% of students suspended
08X282,2021-22,36.0,18.46,18.5% of students suspended
08X293,2021-22,41.0,9.62,9.6% of students suspended
08X301,2021-22,,,Data suppressed
08X302,2021-22,28.0,7.14,7.1% of students suspended
08X304,2021-22,0.0,0.0,0.0% of students suspended
08X312,2021-22,39.0,10.21,10.2% of students suspended
08X320,2021-22,52.0,15.34,15.3% of students suspended
08X333,2021-22,,,Data suppressed
08X337,2021-22,25.0,5.72,5.7% of students suspended
08X348,2021-22,99.0,28.45,28.4% of students suspended
08X349,2021-22,49.0,11.19,11.2% of students suspended
08X367,2021-22,103.0,18.33,18.3% of students suspended
08X371,2021-22,23.0,6.41,6.4% of students suspended
08X375,2021-22,13.0,6.95,7.0% of students suspended
08X376,2021-22,101.0,25.77,25.8% of students suspended
08X377,2021-22,9.0,7.89,7.9% of students suspended
08X392,2021-22,,,Data suppressed
08X405,2021-22,73.0,7.11,7.1% of students suspended
08X424,2021-22,35.0,13.31,13.3% of students suspended
08X432,2021-22,9.0,2.69,2.7% of students suspended
08X448,2021-22,40.0,11.33,11.3% of students suspended
08X452,2021-22,104.0,34.67,34.7% of students suspended
08X467,2021-22,63.0,18.48,18.5% of students suspended
08X530,2021-22,43.0,12.36,12.4% of students suspended
08X537,2021-22,,,Data suppressed
08X558,2021-22,112.0,24.24,24.2% of students suspended
08X561,2021-22,88.0,23.22,23.2% of students suspended
08X562,2021-22,35.0,6.62,6.6% of students suspended
08X583,2021-22,,,Data suppressed
09X004,2021-22,,,Data suppressed
09X011,2021-22,0.0,0.0,0.0% of students suspended
09X022,2021-22,11.0,3.5,3.5% of students suspended
09X028,2021-22,,,Data suppressed
09X035,2021-22,0.0,0.0,0.0% of students suspended
09X042,2021-22,,,Data suppressed
09X053,2021-22,0.0,0.0,0.0% of students suspended
09X055,2021-22,0.0,0.0,0.0% of students suspended
09X058,2021-22,0.0,0.0,0.0% of students suspended
09X063,2021-22,,,Data suppressed
09X070,2021-22,,,Data suppressed
09X073,2021-22,0.0,0.0,0.0% of students suspended
09X088,2021-22,0.0,0.0,0.0% of students suspended
09X109,2021-22,,,Data suppressed
09X110,2021-22,0.0,0.0,0.0% of students suspended
09X114,2021-22,0.0,0.0,0.0% of students suspended
09X117,2021-22,15.0,3.88,3.9% of students suspended
09X126,2021-22,,,Data suppressed
09X128,2021-22,8.0,2.46,2.5% of students suspended
09X132,2021-22,,,Data suppressed
09X163,2021-22,,,Data suppressed
09X170,2021-22,0.0,0.0,0.0% of students suspended
09X199,2021-22,,,Data suppressed
09X204,2021-22,,,Data suppressed
09X215,2021-22,27.0,9.57,9.6% of students suspended
09X218,2021-22,,,Data suppressed
09X219,2021-22,15.0,6.2,6.2% of students suspended
09X227,2021-22,12.0,3.0,3.0% of students suspended
09X229,2021-22,10.0,5.52,5.5% of students suspended
09X231,2021-22,22.0,4.65,4.7% of students suspended
09X232,2021-22,6.0,1.86,1.9% of students suspended
09X236,2021-22,0.0,0.0,0.0% of students suspended
09X241,2021-22,67.0,11.26,11.3% of students suspended
09X250,2021-22,,,Data suppressed
09X252,2021-22,47.0,13.86,13.9% of students suspended
09X260,2021-22,,,Data suppressed
09X263,2021-22,25.0,8.77,8.8% of students suspended
09X274,2021-22,,,Data suppressed
09X294,2021-22,0.0,0.0,0.0% of students suspended
09X297,2021-22,18.0,3.97,4.0% of students suspended
09X303,2021-22,32.0,10.32,10.3% of students suspended
09X311,2021-22,0.0,0.0,0.0% of students suspended
09X313,2021-22,0.0,0.0,0.0% of students suspended
09X323,2021-22,,,Data suppressed
09X324,2021-22,15.0,3.17,3.2% of students suspended
09X327,2021-22,,,Data suppressed
09X328,2021-22,10.0,4.35,4.3% of students suspended
09X329,2021-22,10.0,3.09,3.1% of students suspended
09X339,2021-22,8.0,3.74,3.7% of students suspended
09X350,2021-22,6.0,4.32,4.3% of students suspended
09X361,2021-22,10.0,2.6,2.6% of students suspended
09X365,2021-22,,,Data suppressed
09X403,2021-22,8.0,2.4,2.4% of students suspended
09X404,2021-22,7.0,,Data suppressed
09X412,2021-22,37.0,10.76,10.8% of students suspended
09X413,2021-22,9.0,1.86,1.9% of students suspended
09X443,2021-22,11.0,2.65,2.6% of students suspended
09X449,2021-22,,,Data suppressed
09X454,2021-22,,,Data suppressed
09X457,2021-22,,,Data suppressed
09X505,2021-22,111.0,15.52,15.5% of students suspended
09X517,2021-22,22.0,8.63,8.6% of students suspended
09X525,2021-22,21.0,6.0,6.0% of students suspended
09X543,2021-22,7.0,4.19,4.2% of students suspended
09X555,2021-22,,,Data suppressed
09X564,2021-22,34.0,10.18,10.2% of students suspended
09X568,2021-22,16.0,2.97,3.0% of students suspended
09X593,2021-22,,,Data suppressed
09X594,2021-22,0.0,0.0,0.0% of students suspended
10X003,2021-22,6.0,1.9,1.9% of students suspended
10X007,2021-22,0.0,0.0,0.0% of students suspended
10X008,2021-22,12.0,1.65,1.6% of students suspended
10X009,2021-22,0.0,0.0,0.0% of students suspended
10X015,2021-22,22.0,5.41,5.4% of students suspended
10X020,2021-22,48.0,6.08,6.1% of students suspended
10X023,2021-22,0.0,0.0,0.0% of students suspended
10X024,2021-22,,,Data suppressed
10X032,2021-22,,,Data suppressed
10X033,2021-22,0.0,0.0,0.0% of students suspended
10X037,2021-22,0.0,0.0,0.0% of students suspended
10X045,2021-22,102.0,18.12,18.1% of students suspended
10X046,2021-22,9.0,1.31,1.3% of students suspended
10X051,2021-22,8.0,4.55,4.5% of students suspended
10X054,2021-22,,,Data suppressed
10X056,2021-22,,,Data suppressed
10X059,2021-22,,,Data suppressed
10X077,2021-22,21.0,4.19,4.2% of students suspended
10X080,2021-22,6.0,1.05,1.1% of students suspended
10X081,2021-22,0.0,0.0,0.0% of students suspended
10X085,2021-22,6.0,0.83,0.8% of students suspended
10X086,2021-22,0.0,0.0,0.0% of students suspended
10X091,2021-22,0.0,0.0,0.0% of students suspended
10X094,2021-22,10.0,1.08,1.1% of students suspended
10X095,2021-22,12.0,1.25,1.2% of students suspended
10X118,2021-22,27.0,3.51,3.5% of students suspended
10X141,2021-22,91.0,6.34,6.3% of students suspended
10X159,2021-22,0.0,0.0,0.0% of students suspended
10X205,2021-22,0.0,0.0,0.0% of students suspended
10X206,2021-22,7.0,3.37,3.4% of students suspended
10X207,2021-22,0.0,0.0,0.0% of students suspended
10X209,2021-22,0.0,0.0,0.0% of students suspended
10X213,2021-22,16.0,4.2,4.2% of students suspended
10X225,2021-22,95.0,17.21,17.2% of students suspended
10X226,2021-22,0.0,0.0,0.0% of students suspended
10X228,2021-22,28.0,10.45,10.4% of students suspended
10X237,2021-22,25.0,7.6,7.6% of students suspended
10X243,2021-22,67.0,10.24,10.2% of students suspended
10X244,2021-22,17.0,2.65,2.6% of students suspended
10X246,2021-22,,,Data suppressed
10X254,2021-22,11.0,2.42,2.4% of students suspended
10X264,2021-22,26.0,5.94,5.9% of students suspended
10X268,2021-22,35.0,12.28,12.3% of students suspended
10X279,2021-22,12.0,1.54,1.5% of students suspended
10X280,2021-22,8.0,1.11,1.1% of students suspended
10X284,2021-22,,,Data suppressed
10X291,2021-22,0.0,0.0,0.0% of students suspended
10X306,2021-22,0.0,0.0,0.0% of students suspended
10X307,2021-22,0.0,,Data suppressed
10X308,2021-22,29.0,11.55,11.6% of students suspended
10X310,2021-22,,,Data suppressed
10X315,2021-22,6.0,2.97,3.0% of students suspended
10X319,2021-22,0.0,0.0,0.0% of students suspended
10X331,2021-22,50.0,12.17,12.2% of students suspended
10X340,2021-22,8.0,1.71,1.7% of students suspended
10X342,2021-22,20.0,4.08,4.1% of students suspended
10X344,2021-22,,,Data suppressed
10X351,2021-22,119.0,23.56,23.6% of students suspended
10X353,2021-22,58.0,9.93,9.9% of students suspended
10X360,2021-22,,,Data suppressed
10X363,2021-22,40.0,5.51,5.5% of students suspended
10X368,2021-22,52.0,5.45,5.5% of students suspended
10X374,2021-22,7.0,1.86,1.9% of students suspended
10X382,2021-22,0.0,,Data suppressed
10X386,2021-22,,,Data suppressed
10X390,2021-22,34.0,7.23,7.2% of students suspended
10X391,2021-22,8.0,2.23,2.2% of students suspended
10X396,2021-22,0.0,0.0,0.0% of students suspended
10X397,2021-22,0.0,0.0,0.0% of students suspended
10X433,2021-22,9.0,2.31,2.3% of students suspended
10X434,2021-22,,,Data suppressed
10X437,2021-22,,,Data suppressed
10X438,2021-22,23.0,5.56,5.6% of students suspended
10X439,2021-22,16.0,4.0,4.0% of students suspended
10X440,2021-22,147.0,14.41,14.4% of students suspended
10X442,2021-22,7.0,1.64,1.6% of students suspended
10X445,2021-22,7.0,0.23,0.2% of students suspended
10X447,2021-22,8.0,1.85,1.9% of students suspended
10X477,2021-22,20.0,4.68,4.7% of students suspended
10X524,2021-22,,,Data suppressed
10X546,2021-22,46.0,16.43,16.4% of students suspended
10X549,2021-22,,,Data suppressed
10X565,2021-22,45.0,10.9,10.9% of students suspended
10X696,2021-22,,,Data suppressed
10X903,2021-22,0.0,,Data suppressed
10X904,2021-22,0.0,,Data suppressed
11X016,2021-22,,,Data suppressed
11X019,2021-22,22.0,3.69,3.7% of students suspended
11X021,2021-22,,,Data suppressed
11X041,2021-22,,,Data suppressed
11X068,2021-22,,,Data suppressed
11X076,2021-22,7.0,1.01,1.0% of students suspended
11X078,2021-22,24.0,3.95,4.0% of students suspended
11X083,2021-22,16.0,0.99,1.0% of students suspended
11X087,2021-22,0.0,0.0,0.0% of students suspended
11X089,2021-22,22.0,1.73,1.7% of students suspended
11X096,2021-22,0.0,0.0,0.0% of students suspended
11X097,2021-22,0.0,0.0,0.0% of students suspended
11X103,2021-22,38.0,5.06,5.1% of students suspended
11X105,2021-22,0.0,0.0,0.0% of students suspended
11X106,2021-22,0.0,0.0,0.0% of students suspended
11X108,2021-22,13.0,2.52,2.5% of students suspended
11X111,2021-22,,,Data suppressed
11X112,2021-22,,,Data suppressed
11X121,2021-22,,,Data suppressed
11X127,2021-22,55.0,6.81,6.8% of students suspended
11X144,2021-22,8.0,2.01,2.0% of students suspended
11X153,2021-22,7.0,1.53,1.5% of students suspended
11X160,2021-22,,,Data suppressed
11X169,2021-22,6.0,1.83,1.8% of students suspended
11X175,2021-22,8.0,3.31,3.3% of students suspended
11X178,2021-22,13.0,3.96,4.0% of students suspended
11X180,2021-22,179.0,21.16,21.2% of students suspended
11X181,2021-22,113.0,15.23,15.2% of students suspended
11X189,2021-22,,,Data suppressed
11X194,2021-22,15.0,1.31,1.3% of students suspended
11X249,2021-22,66.0,18.13,18.1% of students suspended
11X253,2021-22,69.0,,Data suppressed
11X265,2021-22,102.0,40.48,40.5% of students suspended
11X270,2021-22,48.0,12.53,12.5% of students suspended
11X275,2021-22,25.0,4.99,5.0% of students suspended
11X287,2021-22,50.0,13.26,13.3% of students suspended
11X288,2021-22,24.0,4.23,4.2% of students suspended
11X290,2021-22,53.0,14.6,14.6% of students suspended
11X299,2021-22,17.0,3.78,3.8% of students suspended
11X326,2021-22,17.0,4.72,4.7% of students suspended
11X355,2021-22,14.0,5.32,5.3% of students suspended
11X357,2021-22,0.0,0.0,0.0% of students suspended
11X370,2021-22,81.0,20.82,20.8% of students suspended
11X418,2021-22,26.0,5.88,5.9% of students suspended
11X455,2021-22,178.0,8.4,8.4% of students suspended
11X462,2021-22,9.0,4.5,4.5% of students suspended
11X468,2021-22,0.0,0.0,0.0% of students suspended
11X481,2021-22,0.0,0.0,0.0% of students suspended
11X483,2021-22,,,Data suppressed
11X498,2021-22,52.0,8.9,8.9% of students suspended
11X508,2021-22,9.0,2.19,2.2% of students suspended
11X509,2021-22,14.0,4.06,4.1% of students suspended
11X513,2021-22,9.0,2.83,2.8% of students suspended
11X514,2021-22,66.0,19.76,19.8% of students suspended
11X529,2021-22,16.0,5.0,5.0% of students suspended
11X532,2021-22,12.0,4.15,4.2% of students suspended
11X542,2021-22,46.0,9.27,9.3% of students suspended
11X544,2021-22,53.0,17.49,17.5% of students suspended
11X545,2021-22,67.0,39.18,39.2% of students suspended
11X556,2021-22,23.0,5.91,5.9% of students suspended
11X566,2021-22,16.0,4.85,4.8% of students suspended
11X567,2021-22,13.0,3.71,3.7% of students suspended
11X901,2021-22,0.0,,Data suppressed
12X006,2021-22,27.0,5.78,5.8% of students suspended
12X044,2021-22,,,Data suppressed
12X047,2021-22,,,Data suppressed
12X057,2021-22,,,Data suppressed
12X061,2021-22,0.0,0.0,0.0% of students suspended
12X066,2021-22,10.0,2.05,2.0% of students suspended
12X067,2021-22,,,Data suppressed
12X098,2021-22,41.0,,Data suppressed
12X129,2021-22,52.0,13.54,13.5% of students suspended
12X134,2021-22,,,Data suppressed
12X150,2021-22,,,Data suppressed
12X190,2021-22,6.0,2.62,2.6% of students suspended
12X195,2021-22,,,Data suppressed
12X196,2021-22,0.0,0.0,0.0% of students suspended
12X211,2021-22,21.0,5.15,5.2% of students suspended
12X214,2021-22,22.0,2.36,2.4% of students suspended
12X217,2021-22,14.0,5.19,5.2% of students suspended
12X242,2021-22,50.0,7.41,7.4% of students suspended
12X248,2021-22,24.0,17.91,17.9% of students suspended
12X251,2021-22,40.0,12.16,12.2% of students suspended
12X267,2021-22,69.0,13.35,13.3% of students suspended
12X271,2021-22,39.0,6.91,6.9% of students suspended
12X273,2021-22,24.0,10.43,10.4% of students suspended
12X286,2021-22,53.0,19.85,19.9% of students suspended
12X300,2021-22,,,Data suppressed
12X314,2021-22,,,Data suppressed
12X316,2021-22,56.0,17.78,17.8% of students suspended
12X318,2021-22,17.0,10.49,10.5% of students suspended
12X341,2021-22,18.0,6.34,6.3% of students suspended
12X383,2021-22,36.0,9.73,9.7% of students suspended
12X388,2021-22,13.0,4.23,4.2% of students suspended
12X446,2021-22,19.0,11.11,11.1% of students suspended
12X458,2021-22,0.0,0.0,0.0% of students suspended
12X463,2021-22,0.0,0.0,0.0% of students suspended
12X478,2021-22,15.0,4.31,4.3% of students suspended
12X479,2021-22,60.0,22.81,22.8% of students suspended
12X480,2021-22,,,Data suppressed
12X511,2021-22,32.0,9.33,9.3% of students suspended
12X521,2021-22,22.0,4.85,4.8% of students suspended
12X531,2021-22,0.0,0.0,0.0% of students suspended
12X536,2021-22,0.0,0.0,0.0% of students suspended
12X550,2021-22,,,Data suppressed
12X595,2021-22,0.0,0.0,0.0% of students suspended
12X682,2021-22,50.0,10.78,10.8% of students suspended
12X684,2021-22,49.0,17.38,17.4% of students suspended
12X691,2021-22,,,Data suppressed
13K003,2021-22,0.0,0.0,0.0% of students suspended
13K008,2021-22,0.0,0.0,0.0% of students suspended
13K009,2021-22,0.0,0.0,0.0% of students suspended
13K011,2021-22,7.0,0.84,0.8% of students suspended
13K020,2021-22,,,Data suppressed
13K044,2021-22,0.0,0.0,0.0% of students suspended
13K046,2021-22,6.0,2.62,2.6% of students suspended
13K054,2021-22,0.0,0.0,0.0% of students suspended
13K056,2021-22,,,Data suppressed
13K067,2021-22,10.0,5.1,5.1% of students suspended
13K093,2021-22,,,Data suppressed
13K113,2021-22,43.0,16.04,16.0% of students suspended
13K133,2021-22,0.0,0.0,0.0% of students suspended
13K256,2021-22,0.0,0.0,0.0% of students suspended
13K265,2021-22,12.0,4.07,4.1% of students suspended
13K266,2021-22,27.0,24.77,24.8% of students suspended
13K270,2021-22,0.0,0.0,0.0% of students suspended
13K282,2021-22,0.0,0.0,0.0% of students suspended
13K287,2021-22,0.0,0.0,0.0% of students suspended
13K301,2021-22,10.0,13.33,13.3% of students suspended
13K307,2021-22,,,Data suppressed
13K313,2021-22,14.0,5.28,5.3% of students suspended
13K350,2021-22,10.0,5.99,6.0% of students suspended
13K351,2021-22,26.0,13.07,13.1% of students suspended
13K412,2021-22,11.0,2.09,2.1% of students suspended
13K419,2021-22,33.0,6.32,6.3% of students suspended
13K430,2021-22,14.0,0.23,0.2% of students suspended
13K439,2021-22,8.0,2.45,2.5% of students suspended
13K483,2021-22,131.0,28.98,29.0% of students suspended
13K492,2021-22,,,Data suppressed
13K527,2021-22,31.0,6.57,6.6% of students suspended
13K553,2021-22,15.0,12.2,12.2% of students suspended
13K594,2021-22,,,Data suppressed
13K595,2021-22,14.0,3.68,3.7% of students suspended
13K605,2021-22,61.0,9.49,9.5% of students suspended
13K616,2021-22,9.0,6.82,6.8% of students suspended
13K670,2021-22,44.0,5.29,5.3% of students suspended
13K674,2021-22,26.0,5.64,5.6% of students suspended
13K691,2021-22,10.0,6.06,6.1% of students suspended
13K901,2021-22,0.0,,Data suppressed
13K902,2021-22,0.0,,Data suppressed
13K915,2021-22,19.0,6.55,6.5% of students suspended
14K016,2021-22,6.0,3.16,3.2% of students suspended
14K017,2021-22,0.0,0.0,0.0% of students suspended
14K018,2021-22,,,Data suppressed
14K023,2021-22,9.0,3.47,3.5% of students suspended
14K031,2021-22,0.0,0.0,0.0% of students suspended
14K034,2021-22,0.0,0.0,0.0% of students suspended
14K050,2021-22,36.0,11.5,11.5% of students suspended
14K059,2021-22,13.0,4.56,4.6% of students suspended
14K071,2021-22,31.0,6.15,6.2% of students suspended
14K084,2021-22,0.0,0.0,0.0% of students suspended
14K110,2021-22,,,Data suppressed
14K120,2021-22,0.0,0.0,0.0% of students suspended
14K126,2021-22,39.0,17.49,17.5% of students suspended
14K132,2021-22,0.0,0.0,0.0% of students suspended
14K147,2021-22,0.0,0.0,0.0% of students suspended
14K157,2021-22,,,Data suppressed
14K196,2021-22,,,Data suppressed
14K250,2021-22,0.0,0.0,0.0% of students suspended
14K257,2021-22,0.0,0.0,0.0% of students suspended
14K297,2021-22,,,Data suppressed
14K318,2021-22,206.0,17.84,17.8% of students suspended
14K319,2021-22,0.0,0.0,0.0% of students suspended
14K380,2021-22,0.0,0.0,0.0% of students suspended
14K414,2021-22,23.0,4.26,4.3% of students suspended
14K449,2021-22,21.0,2.49,2.5% of students suspended
14K454,2021-22,6.0,1.5,1.5% of students suspended
14K474,2021-22,26.0,6.07,6.1% of students suspended
14K477,2021-22,0.0,0.0,0.0% of students suspended
14K478,2021-22,51.0,9.38,9.4% of students suspended
14K488,2021-22,71.0,12.93,12.9% of students suspended
14K558,2021-22,72.0,12.24,12.2% of students suspended
14K561,2021-22,53.0,7.56,7.6% of students suspended
14K577,2021-22,13.0,2.95,3.0% of students suspended
14K582,2021-22,56.0,17.13,17.1% of students suspended
14K586,2021-22,64.0,16.16,16.2% of students suspended
14K610,2021-22,23.0,6.5,6.5% of students suspended
14K614,2021-22,23.0,6.67,6.7% of students suspended
14K685,2021-22,,,Data suppressed
15K001,2021-22,,,Data suppressed
15K010,2021-22,0.0,0.0,0.0% of students suspended
15K015,2021-22,13.0,3.33,3.3% of students suspended
15K024,2021-22,0.0,0.0,0.0% of students suspended
15K029,2021-22,0.0,0.0,0.0% of students suspended
15K032,2021-22,,,Data suppressed
15K038,2021-22,,,Data suppressed
15K039,2021-22,0.0,0.0,0.0% of students suspended
15K051,2021-22,33.0,3.06,3.1% of students suspended
15K058,2021-22,0.0,0.0,0.0% of students suspended
15K088,2021-22,37.0,3.23,3.2% of students suspended
15K094,2021-22,,,Data suppressed
15K107,2021-22,0.0,0.0,0.0% of students suspended
15K118,2021-22,0.0,0.0,0.0% of students suspended
15K124,2021-22,,,Data suppressed
15K130,2021-22,0.0,0.0,0.0% of students suspended
15K131,2021-22,0.0,0.0,0.0% of students suspended
15K136,2021-22,16.0,3.19,3.2% of students suspended
15K146,2021-22,0.0,0.0,0.0% of students suspended
15K154,2021-22,,,Data suppressed
15K169,2021-22,,,Data suppressed
15K172,2021-22,0.0,0.0,0.0% of students suspended
15K230,2021-22,0.0,0.0,0.0% of students suspended
15K261,2021-22,0.0,0.0,0.0% of students suspended
15K295,2021-22,,,Data suppressed
15K321,2021-22,7.0,0.57,0.6% of students suspended
15K418,2021-22,,,Data suppressed
15K423,2021-22,32.0,23.36,23.4% of students suspended
15K429,2021-22,20.0,6.04,6.0% of students suspended
15K442,2021-22,28.0,8.41,8.4% of students suspended
15K443,2021-22,,,Data suppressed
15K447,2021-22,9.0,1.71,1.7% of students suspended
15K448,2021-22,,,Data suppressed
15K462,2021-22,57.0,12.08,12.1% of students suspended
15K463,2021-22,,,Data suppressed
15K464,2021-22,10.0,1.62,1.6% of students suspended
15K497,2021-22,39.0,5.03,5.0% of students suspended
15K516,2021-22,0.0,0.0,0.0% of students suspended
15K519,2021-22,38.0,9.18,9.2% of students suspended
15K529,2021-22,0.0,0.0,0.0% of students suspended
15K592,2021-22,,,Data suppressed
15K656,2021-22,37.0,3.8,3.8% of students suspended
15K667,2021-22,101.0,7.38,7.4% of students suspended
15K676,2021-22,8.0,8.33,8.3% of students suspended
15K684,2021-22,10.0,1.49,1.5% of students suspended
15K698,2021-22,15.0,9.15,9.2% of students suspended
15K821,2021-22,0.0,0.0,0.0% of students suspended
15K839,2021-22,11.0,3.06,3.1% of students suspended
15K896,2021-22,0.0,0.0,0.0% of students suspended
16K005,2021-22,,,Data suppressed
16K021,2021-22,0.0,0.0,0.0% of students suspended
16K025,2021-22,0.0,0.0,0.0% of students suspended
16K026,2021-22,,,Data suppressed
16K035,2021-22,0.0,0.0,0.0% of students suspended
16K040,2021-22,0.0,0.0,0.0% of students suspended
16K057,2021-22,7.0,6.67,6.7% of students suspended
16K081,2021-22,0.0,0.0,0.0% of students suspended
16K243,2021-22,0.0,0.0,0.0% of students suspended
16K262,2021-22,0.0,0.0,0.0% of students suspended
16K267,2021-22,12.0,6.78,6.8% of students suspended
16K308,2021-22,9.0,3.59,3.6% of students suspended
16K309,2021-22,,,Data suppressed
16K335,2021-22,0.0,0.0,0.0% of students suspended
16K455,2021-22,68.0,14.17,14.2% of students suspended
16K498,2021-22,35.0,6.06,6.1% of students suspended
16K627,2021-22,0.0,0.0,0.0% of students suspended
16K628,2021-22,,,Data suppressed
16K669,2021-22,,,Data suppressed
