DBN,school_year,school_type,safety_climate_rating,safety_climate_rating_label,safety_pct_positive,safety_pct_positive_label
01M332,2020-21,EMS,,Rating not available,,Data not available
01M361,2020-21,EMS,,Rating not available,,Data not available
01M363,2020-21,EMS,,Rating not available,,Data not available
01M364,2020-21,EMS,,Rating not available,,Data not available
01M378,2020-21,EMS,,Rating not available,,Data not available
01M450,2020-21,EMS,,Rating not available,,Data not available
01M539,2020-21,EMS,,Rating not available,,Data not available
01M839,2020-21,EMS,,Rating not available,,Data not available
02M001,2020-21,EMS,,Rating not available,,Data not available
02M002,2020-21,EMS,,Rating not available,,Data not available
02M003,2020-21,EMS,,Rating not available,,Data not available
02M006,2020-21,EMS,,Rating not available,,Data not available
02M011,2020-21,EMS,,Rating not available,,Data not available
02M033,2020-21,EMS,,Rating not available,,Data not available
02M040,2020-21,EMS,,Rating not available,,Data not available
02M041,2020-21,EMS,,Rating not available,,Data not available
02M042,2020-21,EMS,,Rating not available,,Data not available
02M051,2020-21,EMS,,Rating not available,,Data not available
02M059,2020-21,EMS,,Rating not available,,Data not available
02M077,2020-21,EMS,,Rating not available,,Data not available
02M089,2020-21,EMS,,Rating not available,,Data not available
02M104,2020-21,EMS,,Rating not available,,Data not available
02M111,2020-21,EMS,,Rating not available,,Data not available
02M114,2020-21,EMS,,Rating not available,,Data not available
02M116,2020-21,EMS,,Rating not available,,Data not available
02M124,2020-21,EMS,,Rating not available,,Data not available
02M126,2020-21,EMS,,Rating not available,,Data not available
02M130,2020-21,EMS,,Rating not available,,Data not available
02M131,2020-21,EMS,,Rating not available,,Data not available
02M150,2020-21,EMS,,Rating not available,,Data not available
02M151,2020-21,EMS,,Rating not available,,Data not available
02M158,2020-21,EMS,,Rating not available,,Data not available
02M167,2020-21,EMS,,Rating not available,,Data not available
02M177,2020-21,EMS,,Rating not available,,Data not available
02M183,2020-21,EMS,,Rating not available,,Data not available
02M198,2020-21,EMS,,Rating not available,,Data not available
02M212,2020-21,EMS,,Rating not available,,Data not available
02M217,2020-21,EMS,,Rating not available,,Data not available
02M225,2020-21,EMS,,Rating not available,,Data not available
02M234,2020-21,EMS,,Rating not available,,Data not available
02M255,2020-21,EMS,,Rating not available,,Data not available
02M260,2020-21,EMS,,Rating not available,,Data not available
02M267,2020-21,EMS,,Rating not available,,Data not available
02M276,2020-21,EMS,,Rating not available,,Data not available
02M281,2020-21,EMS,,Rating not available,,Data not available
