DBN,school_year,arts_ed_score,arts_ed_score_label,arts_ed_disciplines
13K093,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
13K113,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
13K133,2020-21,0,0 of 4 disciplines,
13K256,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
13K270,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
13K287,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
13K307,2020-21,2,2 of 4 disciplines,"Music, Visual Arts"
13K350,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
13K351,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
13K419,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
13K439,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
13K483,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
13K492,2020-21,3,3 of 4 disciplines,"Dance, Theater, Visual Arts"
13K527,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
13K553,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
13K605,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
13K616,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
14K017,2020-21,1,1 of 4 discipline,Visual Arts
14K018,2020-21,1,1 of 4 discipline,Visual Arts
14K023,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
14K031,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
14K034,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
14K050,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
14K059,2020-21,2,2 of 4 disciplines,"Dance, Music"
14K084,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
14K110,2020-21,2,2 of 4 disciplines,"Music, Visual Arts"
14K120,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
14K126,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
14K147,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
14K250,2020-21,0,0 of 4 disciplines,
14K257,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
14K297,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
14K318,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
14K380,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
14K414,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
14K449,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
14K474,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
14K477,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
14K478,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
14K558,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
14K561,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
14K582,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
14K586,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
14K685,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
15K001,2020-21,2,2 of 4 disciplines,"Dance, Visual Arts"
15K010,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
