DBN,school_year,arts_ed_score,arts_ed_score_label,arts_ed_disciplines
02M411,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M412,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M413,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M414,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M416,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M420,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M427,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M432,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M439,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M459,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M475,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M507,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M519,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M520,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M527,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M529,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M531,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M533,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M534,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M542,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M544,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M550,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M551,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M565,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M570,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M575,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M580,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M586,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M600,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M630,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M896,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M933,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
03M009,2020-21,3,3 of 4 disciplines,"Dance, Music, Visual Arts"
03M054,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
03M075,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
